run,scenario,group,cumulative_utility,mean_utility,mean_quality_true,mean_quality_surface,fatal_errors,task_success_rate,final_trust_gini,final_collapse_index,mean_trust_var,a9_first_delay,a10_first_delay,a9_first20_rate,a9_var_convergence,a8_trust_quality_corr
1,baseline,TRUE,-1260.0,-15.75,0.7427083333333333,0.7635416666666666,30,0.6625,0.5785185185185184,0.36311111111111105,0.07147367549573186,0,999,0.25,1,0.0
1,baseline,Blind,-9500.0,-118.75,0.32395833333333324,0.3802083333333333,86,0.3125,0.5437037037037038,0.32622222222222225,0.08333333333333323,9,999,0.1,999,0.0
1,baseline,MOO,1660.0,20.75,0.7166666666666665,0.7056249999999998,16,0.8125,0.7072978303747535,0.43504536489151874,0.07168927040577598,0,999,0.05,999,0.7179980486537084
2,baseline,TRUE,-260.0,-3.25,0.7168749999999999,0.7116666666666667,29,0.7125,0.47279693486590046,0.29434482758620695,0.07005912994594218,0,999,1.2,1,0.0
2,baseline,Blind,-8980.0,-112.25,0.3249999999999998,0.4183333333333333,78,0.3375,0.5466666666666666,0.32799999999999996,0.08333333333333323,6,999,0.05,999,0.0
2,baseline,MOO,-2620.0,-32.75,0.6364583333333336,0.6683333333333332,38,0.6125,0.6633333333333333,0.4033333333333333,0.07239026360078318,23,999,0.0,999,0.6101524196639453
3,baseline,TRUE,920.0,11.5,0.7364583333333333,0.6902083333333333,20,0.775,0.5208791208791208,0.32319413919413914,0.07053258318825895,0,999,0.25,999,0.0
3,baseline,Blind,-8680.0,-108.5,0.31166666666666654,0.4064583333333333,83,0.35,0.5086705202312138,0.3052023121387283,0.08333333333333323,1,999,0.15,999,0.0
3,baseline,MOO,960.0,12.0,0.7552083333333334,0.7181249999999999,25,0.75,0.7075757575757575,0.42987878787878786,0.07301592734634979,999,999,0.0,999,0.0
4,baseline,TRUE,520.0,6.5,0.7395833333333329,0.6716666666666665,22,0.75,0.5463126843657817,0.3384542772861357,0.06958721884321989,0,999,0.25,1,0.8971028355775003
4,baseline,Blind,-9720.0,-121.5,0.3931249999999999,0.3735416666666667,79,0.3,0.555996222851747,0.33359773371104817,0.08333333333333323,0,999,0.2,999,0.0
