run,scenario,round,group,modules,utility,cumulative_utility,quality_true,quality_surface,fatal,trust_mean,trust_var,trust_gini,collapse_index,a9_selected,a10_selected
1,baseline,1,TRUE,5,-200.0,-200.0,0.6,1.0,1,0.5016537076532744,0.08164171813712821,0.1992481203007519,0.11954887218045113,0,0
1,baseline,2,TRUE,5,100.0,-100.0,1.0,0.6,0,0.5067111248534479,0.08070809987282332,0.30952380952380953,0.18571428571428572,0,0
1,baseline,3,TRUE,3,60.0,-40.0,0.6666666666666666,1.0,0,0.5082227571809188,0.07982127328225637,0.3148148148148149,0.1888888888888889,0,0
1,baseline,4,TRUE,3,100.0,60.0,1.0,1.0,0,0.5112311894700347,0.07951187287576013,0.35238095238095246,0.21142857142857147,0,0
1,baseline,5,TRUE,5,100.0,160.0,1.0,0.8,0,0.5156236799063837,0.0786769684195319,0.3857142857142857,0.2314285714285714,0,0
1,baseline,6,TRUE,5,100.0,260.0,1.0,0.8,0,0.5192432682527515,0.07792682614055935,0.4035714285714287,0.24214285714285722,0,0
1,baseline,7,TRUE,4,60.0,320.0,0.75,1.0,0,0.5189085085834702,0.07756536675844695,0.41233766233766245,0.24740259740259746,0,0
1,baseline,8,TRUE,4,60.0,380.0,0.75,0.75,0,0.519381267283178,0.07729356466551719,0.43154761904761907,0.2646428571428572,0,0
1,baseline,9,TRUE,5,-200.0,180.0,0.8,0.6,1,0.5206514340682452,0.07707814608207719,0.44878706199460927,0.2749865229110513,0,0
1,baseline,10,TRUE,4,-200.0,-20.0,0.5,0.75,1,0.5184787092785861,0.07705534368481358,0.45739348370927324,0.28015037593984965,0,0
1,baseline,11,TRUE,4,60.0,40.0,0.75,0.5,0,0.5179139976015177,0.07701189105139877,0.4742388758782201,0.2902576112412178,0,0
1,baseline,12,TRUE,5,-200.0,-160.0,0.6,0.8,1,0.5159308548365713,0.07670556724878365,0.4761904761904763,0.2971428571428572,0,0
1,baseline,13,TRUE,5,60.0,-100.0,0.8,0.8,0,0.5140038266817339,0.07627419981669262,0.48792756539235405,0.30418511066398385,0,0
1,baseline,14,TRUE,5,100.0,0.0,1.0,1.0,0,0.5169012629284018,0.07582524865850625,0.4962406015037595,0.30917293233082715,0,0
1,baseline,15,TRUE,3,60.0,60.0,0.6666666666666666,0.6666666666666666,0,0.5155389489275546,0.07547308560296227,0.4927667269439422,0.3070886075949368,0,0
1,baseline,16,TRUE,5,60.0,120.0,0.6,1.0,0,0.5133810268657478,0.07539943351943884,0.5017006802721089,0.30673469387755103,0,0
