scenario,group,cumulative_utility_mean,cumulative_utility_sd,mean_quality_true,mean_quality_surface,fatal_errors_mean,success_rate,final_trust_gini,final_collapse_index,mean_trust_var,a9_first_delay,a10_first_delay,a9_first20_rate,a9_var_convergence,a8_trust_quality_corr
baseline,TRUE,-40.0,833.4266614405853,0.7278333333333332,0.7012499999999999,25.6,0.725,0.5290691690133524,0.32704150140801136,0.07002810801161168,0.0,999.0,0.45,200.6,0.36319824704976617
baseline,Blind,-9016.0,614.3940103874711,0.3464583333333332,0.40924999999999995,79.0,0.335,0.5385194303755846,0.32311165822535076,0.08333333333333323,4.8,999.0,0.13,999.0,0.0
baseline,MOO,-1924.0,3160.740419585259,0.6543749999999999,0.6772083333333333,35.8,0.6425,0.6701086112190673,0.4084651667314404,0.07105332307566599,404.6,999.0,0.26,999.0,0.37690311688624434
observation_manipulated,TRUE,216.0,1212.7984168855103,0.7259999999999998,0.6245416666666666,22.4,0.7525,0.4880206233538577,0.2938790406789813,0.06920467118077786,0.0,999.0,0.4,3.0,-0.27510290545419736
observation_manipulated,Blind,-9504.0,483.8181476546741,0.35045833333333326,0.42079166666666656,80.0,0.36,0.5363140888167843,0.3217884532900705,0.08333333333333323,8.0,999.0,0.16,999.0,0.0
observation_manipulated,MOO,-11440.0,1204.3255373859677,0.21104166666666663,0.8769166666666663,93.6,0.275,0.8286594219045262,0.4971956531427158,0.07640507480396905,999.0,999.0,0.0,999.0,-0.01094338072942639
safety_critical,TRUE,-2936.0,705.6061224224178,0.7320416666666665,0.6729999999999998,18.2,0.7875,0.5445717481903233,0.34380971558086054,0.06984433242533614,0.4,999.0,0.26,202.4,0.0
safety_critical,Blind,-21768.0,1359.161506223598,0.3384583333333332,0.36499999999999994,88.0,0.29000000000000004,0.5446913194034247,0.32681479164205485,0.08333333333333323,5.6,999.0,0.13,999.0,0.0
safety_critical,MOO,-2248.0,1738.1944655302525,0.7471666666666666,0.6972916666666666,18.6,0.7975000000000001,0.6930628131330501,0.42543768787983005,0.07159836959556963,600.8,999.0,0.13,999.0,0.13742544759602723
utility_trust_misalignment,TRUE,1042.0,491.9044622688434,0.7294999999999998,0.6838333333333332,23.4,0.7525000000000001,0.5112293592865322,0.3088709489052527,0.06860074429061698,0.2,999.0,0.32,399.8,0.38071642937415406
utility_trust_misalignment,Blind,-8832.0,781.5817295715145,0.34308333333333324,0.41287499999999994,84.4,0.29999999999999993,0.537771731629783,0.32266303897786974,0.08333333333333323,4.4,999.0,0.19,999.0,0.0
utility_trust_misalignment,MOO,-292.0,1659.4035072880856,0.6657083333333332,0.6807083333333332,30.0,0.71,0.65769326755865,0.3988826272018567,0.07059544820652261,600.6,999.0,0.14,999.0,0.470832990079881
