run,scenario,group,cumulative_utility,mean_utility,mean_quality_true,mean_quality_surface,fatal_errors,task_success_rate,final_trust_gini,final_collapse_index,mean_trust_var,a9_first_delay,a10_first_delay,a9_first20_rate,a9_var_convergence,a8_trust_quality_corr
1,utility_trust_misalignment,TRUE,4660.0,23.3,0.7505833333333334,0.7126666666666662,49,0.79,0.6264120095124852,0.37584720570749114,0.06691327481158055,0,0,0.4,1,0.0
1,utility_trust_misalignment,Blind,-22370.0,-111.85,0.3428333333333334,0.38925,208,0.295,0.5261363636363636,0.3156818181818182,0.0833333333333335,0,5,0.25,999,0.0
1,utility_trust_misalignment,MOO,4270.0,21.35,0.7878333333333332,0.7425833333333329,51,0.775,0.7369668246445498,0.44218009478672987,0.07235775941321108,999,999,0.0,999,0.0
2,utility_trust_misalignment,TRUE,4660.0,23.3,0.7627499999999998,0.6996666666666664,53,0.79,0.6264120095124852,0.39084720570749115,0.06648950200720939,0,2,0.25,999,0.0
2,utility_trust_misalignment,Blind,-21960.0,-109.8,0.33216666666666683,0.4165000000000003,216,0.3,0.5563953488372093,0.3338372093023256,0.0833333333333335,1,17,0.15,999,0.0
2,utility_trust_misalignment,MOO,1050.0,5.25,0.7191666666666663,0.6904166666666662,60,0.735,0.7183840749414521,0.43103044496487125,0.07147838525252834,999,999,0.0,999,0.7647931438467248
3,utility_trust_misalignment,TRUE,2970.0,14.85,0.7488333333333331,0.6903333333333328,53,0.765,0.571335457705678,0.3628012746234068,0.06612604577706369,3,0,0.35,4,0.7471189362442291
3,utility_trust_misalignment,Blind,-21670.0,-108.35,0.33758333333333346,0.3949999999999999,205,0.305,0.5513259833134685,0.33079558998808106,0.0833333333333335,20,5,0.0,999,0.0
3,utility_trust_misalignment,MOO,3420.0,17.1,0.7408333333333332,0.7200833333333334,51,0.78,0.7166420118343195,0.4299852071005917,0.07084855624140679,999,999,0.0,999,0.5986057785508311
4,utility_trust_misalignment,TRUE,890.0,4.45,0.7371666666666665,0.7154166666666665,62,0.725,0.6003077373974208,0.3601846424384525,0.0664475527288735,0,0,0.45,1,0.9652530842547575
4,utility_trust_misalignment,Blind,-19140.0,-95.7,0.3605,0.3840833333333334,182,0.36,0.5225591715976332,0.3135355029585799,0.0833333333333335,0,2,0.25,999,0.0
4,utility_trust_misalignment,MOO,-19750.0,-98.75,0.6007499999999995,0.6480833333333331,166,0.335,0.6970475910693301,0.4232285546415981,0.06593031924657178,999,999,0.0,999,0.5205972110394891
5,utility_trust_misalignment,TRUE,1930.0,9.65,0.7461666666666664,0.6835833333333331,59,0.745,0.627195550351288,0.3813173302107728,0.06620969192800188,0,0,0.25,2,0.0
5,utility_trust_misalignment,Blind,-22370.0,-111.85,0.31866666666666665,0.40241666666666664,223,0.295,0.5225057339449541,0.3135034403669725,0.0833333333333335,0,7,0.2,999,0.0
5,utility_trust_misalignment,MOO,-1390.0,-6.95,0.6554166666666668,0.6971666666666663,75,0.695,0.7638235294117648,0.46329411764705886,0.07113951118298027,22,2,0.0,999,0.38441282194147514
6,utility_trust_misalignment,TRUE,5050.0,25.25,0.7669999999999998,0.7068333333333331,45,0.805,0.6392647058823528,0.3835588235294117,0.06644380364543756,1,0,0.25,4,0.0
6,utility_trust_misalignment,Blind,-20520.0,-102.6,0.3533333333333335,0.4015000000000002,198,0.33,0.5423199767711964,0.3253919860627178,0.0833333333333335,7,2,0.05,999,0.0
6,utility_trust_misalignment,MOO,3330.0,16.65,0.7554166666666664,0.7084999999999995,62,0.765,0.7253308400460299,0.4351985040276179,0.07234679146709765,999,999,0.0,999,0.4876483746238305
7,utility_trust_misalignment,TRUE,5400.0,27.0,0.777083333333333,0.6808333333333332,42,0.81,0.6144976498237369,0.37369858989424215,0.06741000174825267,0,0,0.25,2,0.7477533660333852
7,utility_trust_misalignment,Blind,-19370.0,-96.85,0.3353333333333333,0.37699999999999995,199,0.355,0.5210294117647059,0.3126176470588235,0.0833333333333335,4,31,0.15,999,0.0
7,utility_trust_misalignment,MOO,2630.0,13.15,0.7354999999999999,0.7135833333333329,56,0.755,0.7047563805104409,0.4228538283062645,0.07006399910458351,999,999,0.0,999,0.6620530758012342
8,utility_trust_misalignment,TRUE,2400.0,12.0,0.7540833333333332,0.6993333333333329,59,0.75,0.602642857142857,0.37658571428571425,0.06616579416819839,0,0,1.1,1,0.880502691236606
8,utility_trust_misalignment,Blind,-17710.0,-88.55,0.3308333333333335,0.3855833333333332,177,0.395,0.49941176470588244,0.29964705882352943,0.0833333333333335,0,0,0.15,999,0.0
8,utility_trust_misalignment,MOO,2460.0,12.3,0.7334999999999997,0.7182499999999997,57,0.75,0.7882352941176471,0.47294117647058825,0.0734412572313548,999,999,0.0,999,0.0
9,utility_trust_misalignment,TRUE,4340.0,21.7,0.7479999999999998,0.7170833333333332,42,0.8,0.6512573964497042,0.4107544378698225,0.06772593373518211,0,0,0.25,1,0.0
9,utility_trust_misalignment,Blind,-18570.0,-92.85,0.34425000000000017,0.38641666666666674,189,0.375,0.5221063454759107,0.3132638072855464,0.0833333333333335,24,4,0.0,999,0.0
9,utility_trust_misalignment,MOO,-22350.0,-111.75,0.4656666666666665,0.5875833333333329,190,0.285,0.7631693830034925,0.4679016298020955,0.06371622386645248,5,0,0.05,999,0.1975378168638684
10,utility_trust_misalignment,TRUE,480.0,2.4,0.7114999999999998,0.7149166666666666,66,0.72,0.5775176678445231,0.34651060070671386,0.06597598561625674,0,0,0.3,1,0.0
10,utility_trust_misalignment,Blind,-23060.0,-115.3,0.3193333333333333,0.38208333333333366,217,0.28,0.532662224797219,0.3195973348783314,0.0833333333333335,24,4,0.0,999,0.0
10,utility_trust_misalignment,MOO,-4030.0,-20.15,0.7040833333333332,0.6952499999999996,82,0.635,0.680291234140715,0.418174740484429,0.0655255541526251,0,2,0.85,999,0.0
11,utility_trust_misalignment,TRUE,1130.0,5.65,0.7568333333333332,0.7301666666666664,68,0.725,0.5533466819221968,0.3470080091533181,0.06976781010177963,0,1,0.4,1,0.3764428037609969
11,utility_trust_misalignment,Blind,-21620.0,-108.1,0.34075000000000005,0.3895000000000001,208,0.31,0.5287240184757507,0.3172344110854504,0.0833333333333335,18,7,0.1,999,0.0
