run,scenario,round,group,modules,utility,cumulative_utility,quality_true,quality_surface,fatal,trust_mean,trust_var,trust_gini,collapse_index,a9_selected,a10_selected
1,baseline,1,TRUE,4,100.0,100.0,1.0,0.5,0,0.5076162440511102,0.08188723049757157,0.15873015873015883,0.0952380952380953,0,0
1,baseline,2,TRUE,5,-200.0,-100.0,0.6,0.8,1,0.5074578319929937,0.08056751136746243,0.2515527950310559,0.15093167701863353,0,0
1,baseline,3,TRUE,4,-200.0,-300.0,0.5,0.75,1,0.5057663700820239,0.07983125099776289,0.29894179894179906,0.17936507936507942,0,0
1,baseline,4,TRUE,5,60.0,-240.0,0.8,0.6,0,0.5089351326078384,0.07876843678664842,0.3214285714285714,0.19285714285714284,0,0
1,baseline,5,TRUE,5,-200.0,-440.0,0.6,0.8,1,0.50904977393496,0.07829867721692609,0.36872586872586877,0.22123552123552126,0,0
1,baseline,6,TRUE,3,60.0,-380.0,0.3333333333333333,0.3333333333333333,0,0.5058545183086466,0.07782228023027771,0.3678571428571429,0.22071428571428572,0,0
1,baseline,7,TRUE,4,100.0,-280.0,1.0,1.0,0,0.5098627183281697,0.07735706163364699,0.3831168831168832,0.2298701298701299,0,0
1,baseline,8,TRUE,5,60.0,-220.0,0.8,0.8,0,0.5099138438630817,0.07649494917587253,0.39504373177842567,0.2370262390670554,0,0
1,baseline,9,TRUE,5,-200.0,-420.0,0.6,0.4,2,0.5108204434343708,0.07616795655733448,0.4021164021164021,0.24126984126984125,0,0
1,baseline,10,TRUE,4,60.0,-360.0,0.75,1.0,0,0.5117660841662274,0.07573032553353531,0.3940886699507389,0.2364532019704433,0,0
1,baseline,1,Blind,4,60.0,60.0,0.25,0.0,0,0.5,0.08333333333333327,0.15873015873015883,0.0952380952380953,0,0
1,baseline,2,Blind,5,-200.0,-140.0,0.4,0.4,1,0.5,0.08333333333333327,0.23291925465838514,0.13975155279503107,0,0
1,baseline,3,Blind,4,-200.0,-340.0,0.25,0.75,1,0.5,0.08333333333333327,0.3306878306878307,0.1984126984126984,0,0
1,baseline,4,Blind,5,60.0,-280.0,0.8,0.4,0,0.5,0.08333333333333327,0.3705357142857144,0.22232142857142864,0,0
