scenario,group,cumulative_utility_mean,cumulative_utility_sd,cumulative_utility_ci_lo,cumulative_utility_ci_hi,mean_quality_true,mean_quality_surface,fatal_errors_mean,fatal_errors_sd,success_rate,final_trust_gini,final_collapse_index,mean_trust_var,a9_first_delay,a10_first_delay,a9_first20_rate,a9_var_convergence,a8_trust_quality_corr
baseline,Blind,-1350.0,183.84776310850236,-1480.0,-1220.0,0.33166666666666667,0.42833333333333334,10.0,1.4142135623730951,0.25,0.5051276309897,0.30307657859382,0.08333333333333327,999.0,999.0,0.0,999.0,0.0
baseline,MOO,-530.0,608.1118318204309,-960.0,-100.0,0.6108333333333333,0.6591666666666667,5.5,3.5355339059327378,0.55,0.4482982534706673,0.2689789520824004,0.07804093966799577,999.0,999.0,0.0,999.0,0.0
baseline,TRUE,-210.0,212.13203435596427,-360.0,-60.0,0.72,0.7025,4.0,1.4142135623730951,0.6499999999999999,0.42107030900134346,0.2526421854008061,0.07864175636228724,999.0,999.0,0.0,999.0,0.0
baseline,TTB,-790.0,240.41630560342617,-960.0,-620.0,0.4058333333333333,0.48249999999999993,6.5,0.7071067811865476,0.45,0.5156291983878191,0.3093775190326914,0.07789140304899508,999.0,999.0,0.0,999.0,0.6661686770581754
observation_manipulated,Blind,-1500.0,197.9898987322333,-1640.0,-1360.0,0.32833333333333337,0.44833333333333336,12.0,1.4142135623730951,0.25,0.4461676546714537,0.2677005928028722,0.08333333333333327,999.0,999.0,0.0,999.0,0.0
observation_manipulated,MOO,-1080.0,395.9797974644666,-1360.0,-800.0,0.4175,0.3991666666666667,8.0,2.8284271247461903,0.4,0.34344994572931453,0.2060699674375887,0.07889845216864838,999.0,999.0,0.0,999.0,0.0
observation_manipulated,TRUE,-160.0,0.0,-160.0,-160.0,0.7591666666666667,0.6966666666666667,3.0,0.0,0.7,0.37194205560657934,0.2231652333639476,0.07930660177094198,999.0,999.0,0.0,999.0,0.0
observation_manipulated,TTB,-1920.0,0.0,-1920.0,-1920.0,0.10500000000000001,0.5650000000000002,15.5,0.7071067811865476,0.1,0.6356975870418302,0.38141855222509813,0.07996138952351481,999.0,999.0,0.0,999.0,-0.0024461996049986736
safety_critical,Blind,-2240.0,0.0,-2240.0,-2240.0,0.3375,0.355,9.5,3.5355339059327378,0.4,0.4744897959183674,0.2846938775510204,0.08333333333333327,999.0,999.0,0.0,999.0,0.0
safety_critical,MOO,-1300.0,0.0,-1300.0,-1300.0,0.5966666666666667,0.6325000000000001,5.5,0.7071067811865476,0.6,0.46683673469387754,0.2801020408163265,0.07807723356320839,999.0,999.0,0.0,999.0,0.0
safety_critical,TRUE,-460.0,395.9797974644666,-740.0,-180.0,0.8108333333333333,0.67,2.5,0.7071067811865476,0.75,0.4196428571428571,0.2546428571428571,0.0788155004417134,999.0,999.0,0.0,999.0,0.0
safety_critical,TTB,-1990.0,1598.0613254815974,-3120.0,-860.0,0.3816666666666667,0.4633333333333333,9.5,6.363961030678928,0.44999999999999996,0.45280612244897955,0.2716836734693877,0.0763793380357473,999.0,999.0,0.0,999.0,0.0
utility_trust_misalignment,Blind,-1455.0,162.63455967290594,-1570.0,-1340.0,0.3866666666666667,0.4691666666666667,13.0,1.4142135623730951,0.15000000000000002,0.5096323011963406,0.30577938071780436,0.08333333333333327,999.0,999.0,0.0,999.0,0.0
utility_trust_misalignment,MOO,-470.0,1060.6601717798212,-1220.0,280.0,0.6141666666666666,0.6375,7.5,6.363961030678928,0.5,0.5074771287825475,0.3044862772695285,0.07904400935306591,999.0,999.0,0.0,999.0,0.0
utility_trust_misalignment,TRUE,80.0,42.42640687119285,50.0,110.0,0.8275,0.7274999999999999,3.0,0.0,0.7,0.43701618578465873,0.2650668543279381,0.07888992354521887,999.0,999.0,0.0,999.0,0.0
utility_trust_misalignment,TTB,-1195.0,445.47727214752496,-1510.0,-880.0,0.3766666666666667,0.56,11.5,4.949747468305833,0.25,0.5308761435608726,0.31852568613652354,0.07806622538601958,999.0,999.0,0.0,999.0,0.32626880724237617
