run,scenario,group,cumulative_utility,mean_utility,mean_quality_true,mean_quality_surface,fatal_errors,task_success_rate,final_trust_gini,final_collapse_index,mean_trust_var,a9_first_delay,a10_first_delay,a9_first20_rate,a9_var_convergence,a8_trust_quality_corr
1,safety_critical,TRUE,-1100.0,-5.5,0.797583333333333,0.7116666666666663,35,0.84,0.6311936936936937,0.3937162162162162,0.06651011676855348,0,1,0.25,999,0.82145560366224
1,safety_critical,TRUE-no-cap,-4740.0,-23.7,0.7406666666666666,0.684833333333333,45,0.815,0.5900900900900901,0.394054054054054,0.05874983968063345,0,0,0.9,0,0.8168170950638414
1,safety_critical,TTB,-3800.0,-19.0,0.7776666666666663,0.7374166666666663,41,0.81,0.7490146396396395,0.45440878378378374,0.07089239862481239,0,1,0.05,999,0.0
1,safety_critical,TTB-cap,-2960.0,-14.8,0.8149999999999998,0.7456666666666663,43,0.81,0.7473254504504505,0.4533952702702703,0.07789935732157317,999,999,0.0,999,0.0
1,safety_critical,MOO,460.0,2.3,0.7830833333333334,0.6939166666666658,32,0.87,0.7317004504504505,0.4540202702702703,0.0700718996936219,0,999,0.05,999,0.0
1,safety_critical,MOO-cap,-4620.0,-23.1,0.8069999999999997,0.7375833333333329,45,0.8,0.7398648648648649,0.44891891891891894,0.07465105378358956,999,999,0.0,999,0.0
1,safety_critical,Blind,-56440.0,-282.2,0.34075000000000005,0.3863333333333333,227,0.265,0.5570101351351351,0.334206081081081,0.0833333333333335,20,3,0.0,999,0.0
2,safety_critical,TRUE,-5920.0,-29.6,0.7755833333333336,0.7185833333333332,51,0.79,0.6448241061130335,0.3918944636678201,0.0665832237624975,0,0,0.25,1,0.0
2,safety_critical,TRUE-no-cap,-3540.0,-17.7,0.7249166666666669,0.6889999999999995,37,0.83,0.6319925028835063,0.4191955017301038,0.05838280046381247,0,0,0.3,999,0.0
2,safety_critical,TTB,-1180.0,-5.9,0.8135833333333337,0.7303333333333331,36,0.835,0.7430074971164937,0.4508044982698962,0.07486462173541701,999,999,0.0,999,0.0
2,safety_critical,TTB-cap,-3320.0,-16.6,0.8121666666666666,0.7443333333333336,41,0.81,0.7437283737024221,0.4462370242214532,0.0782265578562697,999,999,0.0,999,0.0
2,safety_critical,MOO,-7920.0,-39.6,0.7916666666666672,0.711583333333333,50,0.77,0.7195069204152249,0.44170415224913495,0.07142438225998152,999,999,0.0,999,0.0
2,safety_critical,MOO-cap,-3380.0,-16.9,0.8244166666666672,0.7240833333333332,45,0.81,0.7336361014994233,0.44518166089965394,0.07552582246134061,999,999,0.0,999,0.0
2,safety_critical,Blind,-52100.0,-260.5,0.36383333333333345,0.37858333333333344,213,0.315,0.575331603229527,0.3451989619377162,0.0833333333333335,9,11,0.1,999,0.0
3,safety_critical,TRUE,-7740.0,-38.7,0.7796666666666665,0.6954999999999995,52,0.77,0.6316159909909911,0.4089695945945946,0.06657834054719868,2,8,0.75,2,0.0
3,safety_critical,TRUE-no-cap,-10840.0,-54.2,0.7260833333333333,0.6986666666666665,56,0.745,0.6444256756756757,0.42665540540540536,0.0584113737426519,0,0,0.3,1,0.0
3,safety_critical,TTB,-6580.0,-32.9,0.8101666666666667,0.7470833333333331,54,0.775,0.7529560810810811,0.45677364864864867,0.0735093078058192,999,999,0.0,999,0.0
3,safety_critical,TTB-cap,-5000.0,-25.0,0.8391666666666667,0.731583333333333,52,0.78,0.7539414414414414,0.45736486486486483,0.0782146194040366,999,999,0.0,999,0.0
