run,scenario,group,cumulative_utility,mean_utility,mean_quality_true,mean_quality_surface,fatal_errors,task_success_rate,final_trust_gini,final_collapse_index,mean_trust_var,a9_first_delay,a10_first_delay,a9_first20_rate,a9_var_convergence,a8_trust_quality_corr
1,utility_trust_misalignment,TRUE,-590.0,-59.0,0.7316666666666667,0.6733333333333332,5,0.5,0.40072639225181605,0.24043583535108962,0.07821349434564666,999,999,0.0,999,0.0
1,utility_trust_misalignment,Blind,-1340.0,-134.0,0.255,0.5566666666666666,12,0.2,0.48789346246973375,0.2927360774818402,0.08333333333333327,999,999,0.0,999,0.0
1,utility_trust_misalignment,TTB,-880.0,-88.0,0.46333333333333326,0.5133333333333334,7,0.4,0.5920096852300243,0.3552058111380146,0.07821424490846222,999,999,0.0,999,0.7345209776816163
2,utility_trust_misalignment,TRUE,340.0,34.0,0.8300000000000001,0.67,2,0.8,0.47744360902255645,0.28646616541353387,0.07906471938547609,999,999,0.0,999,0.0
2,utility_trust_misalignment,Blind,-1570.0,-157.0,0.41999999999999993,0.49499999999999994,10,0.1,0.5701754385964912,0.34210526315789475,0.08333333333333327,999,999,0.0,999,0.0
2,utility_trust_misalignment,TTB,-880.0,-88.0,0.495,0.545,7,0.4,0.5676691729323309,0.3406015037593985,0.07843983223161557,999,999,0.0,999,0.6127992138209106
1,safety_critical,TRUE,-180.0,-18.0,0.85,0.66,2,0.8,0.4464285714285714,0.2735714285714286,0.07888262541075926,999,999,0.0,999,0.0
1,safety_critical,Blind,-2240.0,-224.0,0.42833333333333334,0.45999999999999996,7,0.4,0.5,0.3,0.08333333333333327,999,999,0.0,999,0.0
1,safety_critical,TTB,-3120.0,-312.0,0.27,0.33499999999999996,14,0.2,0.3877551020408163,0.23265306122448978,0.07553310770037684,999,999,0.0,999,0.0
2,safety_critical,TRUE,-740.0,-74.0,0.7716666666666666,0.68,3,0.7,0.3928571428571428,0.23571428571428565,0.07874837547266754,999,999,0.0,999,0.0
2,safety_critical,Blind,-2240.0,-224.0,0.24666666666666667,0.25000000000000006,12,0.4,0.44897959183673475,0.2693877551020408,0.08333333333333327,999,999,0.0,999,0.0
2,safety_critical,TTB,-860.0,-86.0,0.49333333333333335,0.5916666666666667,5,0.7,0.5178571428571428,0.31071428571428567,0.07722556837111776,999,999,0.0,999,0.0
1,observation_manipulated,TRUE,-160.0,-16.0,0.7566666666666666,0.635,3,0.7,0.3547215496368039,0.21283292978208235,0.07934088304188405,999,999,0.0,999,0.0
1,observation_manipulated,Blind,-1640.0,-164.0,0.33666666666666667,0.47666666666666674,11,0.2,0.45883777239709445,0.27530266343825666,0.08333333333333327,999,999,0.0,999,0.0
1,observation_manipulated,TTB,-1920.0,-192.0,0.06000000000000001,0.5083333333333334,16,0.1,0.616222760290557,0.3697336561743342,0.07973524114059667,999,999,0.0,999,0.0
2,observation_manipulated,TRUE,-160.0,-16.0,0.7616666666666667,0.7583333333333333,3,0.7,0.38916256157635476,0.23349753694581285,0.0792723204999999,999,999,0.0,999,0.0
2,observation_manipulated,Blind,-1360.0,-136.0,0.32,0.42000000000000004,13,0.3,0.43349753694581294,0.26009852216748774,0.08333333333333327,999,999,0.0,999,0.0
2,observation_manipulated,TTB,-1920.0,-192.0,0.15,0.6216666666666668,15,0.1,0.6551724137931034,0.393103448275862,0.08018753790643296,999,999,0.0,999,-0.004892399209997347
1,baseline,TRUE,240.0,24.0,0.8666666666666666,0.6683333333333333,2,0.8,0.5145278450363195,0.31443099273607744,0.07928475946562645,999,999,0.0,999,0.0
1,baseline,Blind,-1440.0,-144.0,0.44666666666666666,0.5183333333333333,12,0.2,0.5169491525423728,0.31016949152542367,0.08333333333333327,999,999,0.0,999,0.0
1,baseline,TTB,-2000.0,-200.0,0.33,0.5549999999999999,18,0.0,0.4128329297820823,0.24769975786924936,0.07718233473117316,999,999,0.0,999,0.7802215422239911
2,baseline,TRUE,-60.0,-6.0,0.7899999999999999,0.7033333333333333,3,0.7,0.4398496240601504,0.26962406015037593,0.07895727224310109,999,999,0.0,999,0.0
2,baseline,Blind,-1220.0,-122.0,0.43666666666666665,0.5416666666666666,9,0.3,0.5175438596491229,0.3105263157894737,0.08333333333333327,999,999,0.0,999,0.0
2,baseline,TTB,-700.0,-70.0,0.52,0.6599999999999999,6,0.5,0.5551378446115289,0.33308270676691737,0.0779406526215005,999,999,0.0,999,0.0
