run,scenario,round,group,modules,utility,cumulative_utility,quality_true,quality_surface,fatal,trust_mean,trust_var,trust_gini,collapse_index,a9_selected,a10_selected
1,utility_trust_misalignment,1,TRUE,4,110.0,110.0,1.0,0.5,0,0.5071265861822332,0.08191040756683976,0.15873015873015883,0.0952380952380953,0,0
1,utility_trust_misalignment,2,TRUE,5,-180.0,-70.0,0.6,0.8,1,0.5069309889292961,0.08060489011047904,0.2515527950310559,0.15093167701863353,0,0
1,utility_trust_misalignment,3,TRUE,4,-180.0,-250.0,0.5,0.75,1,0.505296805732471,0.07987271473962083,0.29894179894179906,0.17936507936507942,0,0
1,utility_trust_misalignment,4,TRUE,5,50.0,-200.0,0.8,0.8,0,0.5089329151645263,0.07873206725707334,0.3214285714285714,0.19285714285714284,0,0
1,utility_trust_misalignment,5,TRUE,5,50.0,-150.0,0.8,0.8,0,0.5105544689455428,0.07803975953620845,0.3648648648648649,0.21891891891891893,0,0
1,utility_trust_misalignment,6,TRUE,5,-180.0,-330.0,0.8,0.6,1,0.5136239843352628,0.07748844973424547,0.3945578231292517,0.236734693877551,0,0
1,utility_trust_misalignment,7,TRUE,3,50.0,-280.0,0.6666666666666666,0.3333333333333333,0,0.5133386441152368,0.07691808614231713,0.3761904761904762,0.2257142857142857,0,0
1,utility_trust_misalignment,8,TRUE,4,-180.0,-460.0,0.75,0.75,1,0.5142213456999739,0.07668972325329464,0.38046647230320696,0.22827988338192418,0,0
1,utility_trust_misalignment,9,TRUE,5,-180.0,-640.0,0.6,0.4,1,0.51263737230186,0.07618083093516385,0.3941798941798942,0.2365079365079365,0,0
1,utility_trust_misalignment,10,TRUE,5,50.0,-590.0,0.8,1.0,0,0.5126697947678488,0.07569801418122424,0.40072639225181605,0.24043583535108962,0,0
1,utility_trust_misalignment,1,Blind,4,50.0,50.0,0.25,0.0,0,0.5,0.08333333333333327,0.15873015873015883,0.0952380952380953,0,0
1,utility_trust_misalignment,2,Blind,5,-180.0,-130.0,0.4,0.4,1,0.5,0.08333333333333327,0.23291925465838514,0.13975155279503107,0,0
1,utility_trust_misalignment,3,Blind,4,-180.0,-310.0,0.25,0.75,1,0.5,0.08333333333333327,0.3306878306878307,0.1984126984126984,0,0
1,utility_trust_misalignment,4,Blind,5,-180.0,-490.0,0.6,0.4,1,0.5,0.08333333333333327,0.3839285714285714,0.23035714285714282,0,0
1,utility_trust_misalignment,5,Blind,5,-180.0,-670.0,0.4,0.6,1,0.5,0.08333333333333327,0.43050193050193064,0.25830115830115835,0,0
1,utility_trust_misalignment,6,Blind,5,-180.0,-850.0,0.2,0.4,2,0.5,0.08333333333333327,0.4625850340136055,0.2775510204081633,0,0
1,utility_trust_misalignment,7,Blind,3,50.0,-800.0,0.0,0.6666666666666666,0,0.5,0.08333333333333327,0.4746031746031747,0.2847619047619048,0,0
1,utility_trust_misalignment,8,Blind,4,-180.0,-980.0,0.25,0.75,1,0.5,0.08333333333333327,0.43877551020408156,0.2632653061224489,0,0
