run,scenario,round,group,modules,utility,cumulative_utility,quality_true,quality_surface,fatal,trust_mean,trust_var,trust_gini,collapse_index,a9_selected,a10_selected
1,observation_manipulated,1,TTB-cap,5,100.0,100.0,1.0,0.8,0,0.5008023394493294,0.08248707166556764,0.16917293233082709,0.10150375939849625,0,0
1,observation_manipulated,2,TTB-cap,4,60.0,160.0,0.75,0.5,0,0.5004555767847064,0.08194939194074684,0.2639751552795031,0.15838509316770186,0,0
1,observation_manipulated,3,TTB-cap,5,60.0,220.0,0.8,0.8,0,0.4997976021358243,0.08131974619539968,0.30102040816326525,0.18061224489795916,0,0
1,observation_manipulated,4,TTB-cap,5,100.0,320.0,1.0,0.6,0,0.5039256069759087,0.08053495414241962,0.3701298701298701,0.22207792207792204,0,0
1,observation_manipulated,5,TTB-cap,3,100.0,420.0,1.0,1.0,0,0.5059147836693343,0.080040530289201,0.3928571428571428,0.23571428571428565,0,0
1,observation_manipulated,6,TTB-cap,4,60.0,480.0,0.75,1.0,0,0.507673045496789,0.07935105924400179,0.42500000000000004,0.255,0,0
1,observation_manipulated,7,TTB-cap,5,-220.0,260.0,0.8,1.0,1,0.509518606643273,0.0790216486834898,0.46190476190476204,0.2771428571428572,0,0
1,observation_manipulated,8,TTB-cap,5,-220.0,40.0,0.6,0.6,1,0.5095418432365681,0.07879626533549515,0.49142857142857155,0.29485714285714293,0,0
1,observation_manipulated,9,TTB-cap,4,100.0,140.0,1.0,0.75,0,0.5100188565671491,0.07859604569072828,0.5105820105820107,0.3063492063492064,0,0
1,observation_manipulated,10,TTB-cap,5,60.0,200.0,0.6,0.4,0,0.5104232433628587,0.07845864272313464,0.5217917675544794,0.31307506053268763,0,0
1,observation_manipulated,11,TTB-cap,4,-220.0,-20.0,0.75,0.75,1,0.5101730967244441,0.07834821997459324,0.5340136054421769,0.32040816326530613,0,0
1,observation_manipulated,12,TTB-cap,5,60.0,40.0,0.8,0.8,0,0.5116888570983705,0.0781937810562589,0.5504201680672269,0.3302521008403361,0,0
1,observation_manipulated,13,TTB-cap,4,100.0,140.0,1.0,0.25,0,0.5105581731639665,0.07809317727199183,0.5595238095238095,0.3357142857142857,0,0
1,observation_manipulated,14,TTB-cap,5,60.0,200.0,0.8,1.0,0,0.5108922958449339,0.07804680075162856,0.5705009276437849,0.34230055658627095,0,0
1,observation_manipulated,15,TTB-cap,3,100.0,300.0,1.0,0.3333333333333333,0,0.5114827106264546,0.07797403454986447,0.575,0.345,0,0
1,observation_manipulated,16,TTB-cap,3,100.0,400.0,1.0,0.6666666666666666,0,0.512284193620836,0.0779059779004529,0.5774526678141136,0.34647160068846816,0,0
1,observation_manipulated,17,TTB-cap,5,-220.0,180.0,0.4,0.6,3,0.51230781154312,0.07784215389563875,0.5876623376623378,0.35259740259740263,0,0
1,observation_manipulated,18,TTB-cap,5,60.0,240.0,0.6,0.4,0,0.512330848229025,0.07779973837729658,0.5967741935483872,0.35806451612903234,0,0
1,observation_manipulated,19,TTB-cap,5,60.0,300.0,0.8,0.4,0,0.5115213828559557,0.07778411426376276,0.5991253644314869,0.35947521865889215,0,0
1,observation_manipulated,20,TTB-cap,4,60.0,360.0,0.5,0.5,0,0.511256066865282,0.0777563097514559,0.6036414565826331,0.3621848739495799,0,0
1,observation_manipulated,21,TTB-cap,4,100.0,460.0,1.0,0.75,0,0.5112264926934955,0.07771145093357013,0.6064690026954178,0.3638814016172507,0,0
1,observation_manipulated,22,TTB-cap,5,-220.0,240.0,0.8,0.8,1,0.5111894612378637,0.07765772910625902,0.6132561132561132,0.3679536679536679,0,0
1,observation_manipulated,23,TTB-cap,4,100.0,340.0,1.0,0.5,0,0.5108250946475716,0.0776269266423729,0.6155279503105591,0.3693167701863354,0,0
