run,scenario,group,cumulative_utility,mean_utility,mean_quality_true,mean_quality_surface,fatal_errors,task_success_rate,final_trust_gini,final_collapse_index,mean_trust_var,a9_first_delay,a10_first_delay,a9_first20_rate,a9_var_convergence,a8_trust_quality_corr
1,observation_manipulated,TRUE,2360.0,11.8,0.7729166666666665,0.6303333333333329,51,0.78,0.6543396770472896,0.3926038062283737,0.06802222686374473,0,0,0.25,3,0.0
1,observation_manipulated,TTB-cap,3440.0,17.2,0.8389166666666665,0.6518333333333329,45,0.78,0.7346453287197232,0.4407871972318339,0.07765404131306332,999,999,0.0,999,0.0
1,observation_manipulated,MOO-cap,160.0,0.8,0.7959166666666658,0.6515833333333328,62,0.73,0.6533304498269896,0.39199826989619374,0.0746067736681758,999,999,0.0,999,0.0
1,observation_manipulated,Blind,-26920.0,-134.6,0.3329166666666669,0.4444166666666664,205,0.305,0.5267445213379469,0.31604671280276814,0.0833333333333335,3,4,0.1,999,0.0
2,observation_manipulated,TRUE,4760.0,23.8,0.7879999999999997,0.6438333333333331,46,0.81,0.661512775842044,0.40190766550522644,0.06866030095113454,0,0,0.25,3,0.0
2,observation_manipulated,TTB-cap,3080.0,15.4,0.8186666666666669,0.6618333333333329,47,0.785,0.7362804878048781,0.44176829268292683,0.07814854332804604,999,999,0.0,999,0.0
2,observation_manipulated,MOO-cap,1320.0,6.6,0.8046666666666665,0.6412499999999998,60,0.75,0.6507694541231126,0.39046167247386754,0.07318782757274238,999,999,0.0,999,0.0
2,observation_manipulated,Blind,-24360.0,-121.8,0.3381666666666668,0.47083333333333344,191,0.35,0.51517131242741,0.309102787456446,0.0833333333333335,9,7,0.25,999,0.0
3,observation_manipulated,TRUE,1960.0,9.8,0.771333333333333,0.6514999999999995,51,0.77,0.6383101851851851,0.3829861111111111,0.06885789721077286,0,0,0.25,4,0.0
3,observation_manipulated,TTB-cap,1520.0,7.6,0.796916666666666,0.6568333333333329,53,0.755,0.7404513888888888,0.4442708333333333,0.0778911426963621,999,999,0.0,999,0.0
3,observation_manipulated,MOO-cap,400.0,2.0,0.7789999999999999,0.6741666666666661,61,0.74,0.7336516203703705,0.44019097222222225,0.07672719430660722,999,999,0.0,999,0.0
3,observation_manipulated,Blind,-26480.0,-132.4,0.3357500000000002,0.4259166666666666,210,0.31,0.5193865740740742,0.3116319444444445,0.0833333333333335,3,8,0.2,999,0.0
4,observation_manipulated,TRUE,840.0,4.2,0.7989166666666666,0.641083333333333,60,0.74,0.6584770114942529,0.3950862068965517,0.06796158824224476,0,0,0.25,3,0.0
4,observation_manipulated,TTB-cap,-800.0,-4.0,0.7809166666666666,0.6529166666666663,65,0.72,0.7410919540229886,0.4446551724137931,0.07796716841250151,999,999,0.0,999,0.0
4,observation_manipulated,MOO-cap,640.0,3.2,0.7786666666666662,0.6649999999999996,59,0.75,0.651867816091954,0.3911206896551724,0.07252494630632912,0,999,0.15,999,0.0
4,observation_manipulated,Blind,-28560.0,-142.8,0.32800000000000024,0.43716666666666654,219,0.275,0.5155172413793103,0.3093103448275862,0.0833333333333335,1,22,0.15,999,0.0
5,observation_manipulated,TRUE,4960.0,24.8,0.7814166666666664,0.6312500000000001,42,0.82,0.6367234169653524,0.38203405017921144,0.0684241559784726,0,0,0.25,3,0.0
5,observation_manipulated,TTB-cap,1960.0,9.8,0.8014166666666666,0.6872499999999999,53,0.76,0.7402180406212664,0.4441308243727598,0.07807595116961172,999,999,0.0,999,0.0
5,observation_manipulated,MOO-cap,480.0,2.4,0.7592499999999999,0.6415833333333331,56,0.745,0.6400089605734767,0.384005376344086,0.07452496117093604,999,999,0.0,999,0.0
5,observation_manipulated,Blind,-22960.0,-114.8,0.32166666666666677,0.40274999999999994,190,0.375,0.5072431302270013,0.3043458781362008,0.0833333333333335,2,7,0.25,999,0.0
6,observation_manipulated,TRUE,1840.0,9.2,0.759333333333333,0.6170833333333332,56,0.765,0.6519097222222223,0.39614583333333336,0.06840914860683558,0,0,0.25,4,0.0
6,observation_manipulated,TTB-cap,2040.0,10.2,0.8241666666666667,0.676833333333333,56,0.755,0.7330729166666667,0.43984375000000003,0.07772509742922136,999,999,0.0,999,0.0
6,observation_manipulated,MOO-cap,-360.0,-1.8,0.8009999999999997,0.6597499999999996,63,0.72,0.6533564814814814,0.39201388888888883,0.07484383621838994,999,999,0.0,999,0.0
6,observation_manipulated,Blind,-26440.0,-132.2,0.3437500000000002,0.46775,209,0.31,0.5144675925925926,0.3086805555555555,0.0833333333333335,2,4,0.2,999,0.0
7,observation_manipulated,TRUE,40.0,0.2,0.7462499999999999,0.6521666666666667,62,0.735,0.6577312138728324,0.39463872832369945,0.0690500978877678,0,0,0.25,3,0.0
7,observation_manipulated,TTB-cap,3400.0,17.0,0.82475,0.6690833333333334,47,0.785,0.7419797687861271,0.44518786127167626,0.07783906531004706,999,999,0.0,999,0.0
7,observation_manipulated,MOO-cap,2280.0,11.4,0.7925833333333335,0.665,53,0.775,0.7009393063583815,0.4205635838150289,0.07752923706897398,999,999,0.0,999,0.0
7,observation_manipulated,Blind,-28800.0,-144.0,0.31358333333333355,0.4659166666666666,222,0.27,0.5195809248554912,0.31174855491329473,0.0833333333333335,5,3,0.15,999,0.0
8,observation_manipulated,TRUE,3000.0,15.0,0.7815000000000002,0.6297499999999998,48,0.78,0.6419255568581477,0.3851553341148886,0.06867785485412901,0,0,0.25,4,0.0
8,observation_manipulated,TTB-cap,3280.0,16.4,0.8204999999999998,0.6619999999999999,52,0.78,0.7390826494724503,0.44344958968347015,0.07814908611068587,999,999,0.0,999,0.0
8,observation_manipulated,MOO-cap,-1440.0,-7.2,0.7714166666666666,0.6245833333333333,68,0.71,0.6457356389214537,0.3874413833528722,0.07342132279494538,2,999,1.35,999,0.0
8,observation_manipulated,Blind,-27680.0,-138.4,0.3171666666666666,0.41466666666666696,204,0.29,0.5261576787807738,0.31569460726846427,0.0833333333333335,35,15,0.0,999,0.0
9,observation_manipulated,TRUE,2520.0,12.6,0.7479166666666659,0.6202500000000002,47,0.785,0.6529507710557532,0.3917704626334519,0.06745592088853368,0,0,0.25,4,0.0
9,observation_manipulated,TTB-cap,4240.0,21.2,0.80425,0.6473333333333331,44,0.805,0.7410290628706999,0.44461743772241996,0.07842186448135623,999,999,0.0,999,0.0
9,observation_manipulated,MOO-cap,1760.0,8.8,0.8125833333333331,0.6580833333333329,53,0.755,0.6020907473309609,0.3612544483985765,0.07346474355239196,0,999,1.45,999,-0.9194993717433674
9,observation_manipulated,Blind,-23560.0,-117.8,0.31691666666666685,0.4495000000000001,191,0.365,0.4828736654804271,0.28972419928825627,0.0833333333333335,2,17,0.1,999,0.0
10,observation_manipulated,TRUE,2080.0,10.4,0.7814166666666665,0.6241666666666665,50,0.77,0.6457369942196531,0.39244219653179185,0.06815989980916327,0,0,0.25,3,0.0
10,observation_manipulated,TTB-cap,6040.0,30.2,0.8136666666666664,0.6726666666666662,40,0.83,0.7321531791907514,0.43929190751445085,0.07725651027860635,999,999,0.0,999,0.0
10,observation_manipulated,MOO-cap,-1600.0,-8.0,0.7594999999999998,0.6624999999999992,80,0.705,0.5542630057803468,0.33255780346820807,0.06773232796403578,0,999,1.3,999,0.0
10,observation_manipulated,Blind,-25800.0,-129.0,0.34966666666666674,0.4342500000000002,201,0.325,0.5098988439306358,0.30593930635838146,0.0833333333333335,1,0,0.15,999,0.0
11,observation_manipulated,TRUE,3000.0,15.0,0.7676666666666666,0.6359999999999996,51,0.79,0.6586425206124853,0.39518551236749117,0.06888094265386596,0,0,0.25,4,0.0
11,observation_manipulated,TTB-cap,2520.0,12.6,0.811833333333333,0.6475833333333331,54,0.77,0.7378533568904593,0.4427120141342756,0.07810940302364595,999,999,0.0,999,0.0
11,observation_manipulated,MOO-cap,2440.0,12.2,0.7795000000000001,0.6545833333333332,52,0.78,0.6272820965842167,0.37636925795053006,0.07392317232692035,999,999,0.0,999,0.0
11,observation_manipulated,Blind,-22920.0,-114.6,0.34233333333333354,0.4101666666666667,181,0.375,0.47946113074204955,0.2876766784452297,0.0833333333333335,1,13,0.15,999,0.0
12,observation_manipulated,TRUE,1680.0,8.4,0.787,0.6187499999999997,56,0.76,0.6522887323943662,0.3913732394366197,0.06864297667517462,0,0,0.25,3,0.0
12,observation_manipulated,TTB-cap,3600.0,18.0,0.8037500000000003,0.6560833333333328,47,0.79,0.741343896713615,0.444806338028169,0.07791031802219384,999,999,0.0,999,0.0
12,observation_manipulated,MOO-cap,1320.0,6.6,0.7536666666666665,0.6486666666666661,51,0.765,0.7294600938967135,0.4376760563380281,0.07473307770173208,999,999,0.0,999,0.0
12,observation_manipulated,Blind,-25000.0,-125.0,0.34641666666666693,0.4425833333333335,200,0.335,0.5214201877934272,0.31285211267605634,0.0833333333333335,4,5,0.1,999,0.0
13,observation_manipulated,TRUE,5640.0,28.2,0.7785833333333332,0.6475833333333334,44,0.825,0.6326832151300237,0.3796099290780142,0.06883241835352295,0,0,0.25,3,0.0
13,observation_manipulated,TTB-cap,6600.0,33.0,0.8094999999999996,0.6438333333333329,32,0.845,0.7335992907801419,0.4401595744680851,0.07838513738316123,999,999,0.0,999,0.0
13,observation_manipulated,MOO-cap,4520.0,22.6,0.8089999999999999,0.6921666666666663,46,0.8,0.7272458628841607,0.4363475177304964,0.07594927137956461,999,999,0.0,999,0.0
13,observation_manipulated,Blind,-23800.0,-119.0,0.3480833333333335,0.4408333333333334,180,0.36,0.5060579196217494,0.3036347517730496,0.0833333333333335,1,8,0.15,999,0.0
14,observation_manipulated,TRUE,920.0,4.6,0.7639166666666671,0.6662499999999999,60,0.75,0.6462658592848904,0.38775951557093424,0.06804082725321263,0,0,0.25,3,0.0
14,observation_manipulated,TTB-cap,480.0,2.4,0.8024166666666666,0.6659999999999994,57,0.74,0.7383938869665514,0.4430363321799308,0.07809808383527958,999,999,0.0,999,0.0
14,observation_manipulated,MOO-cap,640.0,3.2,0.7797499999999996,0.6477499999999996,61,0.745,0.6494377162629759,0.3896626297577855,0.07399840470443848,999,999,0.0,999,0.0
14,observation_manipulated,Blind,-25200.0,-126.0,0.36308333333333337,0.4538333333333334,191,0.335,0.5274653979238755,0.31647923875432526,0.0833333333333335,2,11,0.3,999,0.0
15,observation_manipulated,TRUE,2080.0,10.4,0.7700833333333332,0.6857499999999999,49,0.77,0.6385095011876485,0.3831057007125891,0.06881332095545944,0,0,0.25,999,0.0
15,observation_manipulated,TTB-cap,6000.0,30.0,0.8275833333333336,0.6675833333333331,40,0.825,0.7418349168646081,0.4451009501187649,0.07842557110321363,999,999,0.0,999,0.0
15,observation_manipulated,MOO-cap,520.0,2.6,0.8018333333333335,0.6567499999999998,55,0.74,0.7418349168646081,0.4451009501187649,0.07840203988965666,999,999,0.0,999,0.0
15,observation_manipulated,Blind,-26200.0,-131.0,0.32225000000000015,0.4319999999999999,202,0.315,0.5310273159144894,0.3186163895486936,0.0833333333333335,10,2,0.1,999,0.0
