scenario,group,cumulative_utility_mean,cumulative_utility_sd,cumulative_utility_ci_lo,cumulative_utility_ci_hi,mean_quality_true,mean_quality_surface,fatal_errors_mean,fatal_errors_sd,success_rate,final_trust_gini,final_collapse_index,mean_trust_var,a9_first_delay,a10_first_delay,a9_first20_rate,a9_var_convergence,a8_trust_quality_corr
baseline,Blind,-23786.6,1666.6037685101162,-24119.4,-23454.2,0.34158916666666683,0.40010166666666663,209.52,12.224730688405385,0.30995000000000006,0.5297390597848102,0.31784343587088615,0.08333333333333372,6.45,6.07,0.14150000000000001,999.0,0.0
baseline,MOO-cap,1290.4,1983.5759566393156,919.8,1669.6,0.7891300000000002,0.7617200000000003,60.06,8.6827589526776,0.7357999999999998,0.7254845182540918,0.43559071095245494,0.0758794834258951,899.76,979.04,0.0475,999.0,0.033457007947493345
baseline,TRUE,347.6,2038.7078101958446,-71.0,751.6,0.7524149999999998,0.7302083333333325,63.85,9.194173605214788,0.7253999999999996,0.5922134653396196,0.3671780792037718,0.06574534537496576,0.1,0.86,0.49800000000000005,15.82,0.24240320944723462
baseline,TTB-cap,1535.2,1711.3598349991987,1184.8,1868.2,0.7997350000000004,0.770845,59.57,7.363923800350852,0.7373000000000002,0.7404411147693978,0.4444146688616387,0.07776992816159856,999.0,999.0,0.0,999.0,0.0
observation_manipulated,Blind,-25219.2,1765.8715649328476,-25568.0,-24874.4,0.33644250000000014,0.4351575000000001,198.17,11.601162428695226,0.3335500000000001,0.5212790545184119,0.3127674327110473,0.08333333333333372,6.42,7.39,0.1465,999.0,0.0
observation_manipulated,MOO-cap,1016.8,3533.4599405561617,312.8,1685.2,0.7841224999999997,0.6542333333333329,57.19,15.745254215255793,0.7499500000000002,0.691823852584818,0.41509431155089066,0.0747779554432885,800.86,919.19,0.08549999999999999,999.0,0.0
observation_manipulated,TRUE,931.6,1770.3122591648896,581.6,1286.0,0.7536674999999999,0.6360233333333329,56.43,7.247786147535263,0.7538500000000002,0.5237130808103853,0.3157778484862314,0.06515041073659872,0.0,0.15,0.5980000000000004,4.11,-0.002818760851274319
observation_manipulated,TTB-cap,2679.2,2002.0916739018398,2263.6,3077.2,0.8062824999999999,0.6611233333333331,50.77,8.159836352092443,0.7735500000000005,0.7359013789017645,0.4415408273410588,0.07787358469084403,999.0,999.0,0.0,999.0,0.0
safety_critical,Blind,-53419.0,2889.131672004898,-53995.6,-52874.0,0.3425775000000001,0.3754041666666667,214.35,12.312738743006584,0.3004000000000001,0.5416972841449172,0.32501837048695054,0.08333333333333372,6.51,6.94,0.12449999999999997,999.0,0.0
safety_critical,MOO-cap,-3618.2,4369.936869386586,-4543.8,-2789.4,0.8101891666666665,0.7391491666666663,42.84,12.257110902523795,0.8090999999999998,0.7254746882553714,0.4411348129532229,0.07542123951980292,820.32,909.27,0.0845,999.0,0.02546946865905075
safety_critical,TRUE,-4205.4,2954.439022791626,-4796.4,-3624.4,0.7847441666666665,0.7135474999999997,43.15,7.326960040449479,0.8079500000000004,0.6282175209435649,0.3998805125661392,0.06655702117819477,0.33,2.28,0.3820000000000002,67.56,0.10887274979999594
safety_critical,TTB-cap,-1710.8,2678.6585214893435,-2211.2,-1153.2,0.8273783333333331,0.7492549999999996,38.73,6.556444897729996,0.8257499999999998,0.7465395407140807,0.45397372442844824,0.07776500272840407,999.0,999.0,0.0,999.0,0.0
utility_trust_misalignment,Blind,-21550.6,1234.0242290894446,-21790.7,-21297.7,0.33844749999999996,0.39068333333333327,203.8,9.13092204400724,0.31100000000000005,0.5329508014071329,0.3197704808442797,0.08333333333333372,7.23,7.38,0.138,999.0,0.0
utility_trust_misalignment,MOO-cap,2576.8,2532.888270314936,2063.8,3027.7,0.7669641666666664,0.7282349999999999,56.67,12.511857002722085,0.7498,0.719350639612145,0.4317603837672868,0.0758587273886503,909.28,969.05,0.06949999999999999,999.0,0.016862900095796492
utility_trust_misalignment,TRUE,1635.8,1641.0197494795175,1311.1,1964.1,0.7338033333333329,0.7014174999999997,57.98,7.586511155673042,0.7430000000000001,0.5737643005159594,0.35410858030957554,0.06561836337566074,0.14,0.21,0.4654999999999998,17.1,0.31173179512363597
utility_trust_misalignment,TTB-cap,2889.4,1726.921602801419,2567.7,3223.3,0.7739908333333331,0.7356541666666664,56.08,7.368620336030732,0.7531000000000008,0.7362815467967749,0.44186892807806494,0.07785854006295174,999.0,999.0,0.0,999.0,0.0
