run,scenario,group,cumulative_utility,mean_utility,mean_quality_true,mean_quality_surface,fatal_errors,task_success_rate,final_trust_gini,final_collapse_index,mean_trust_var,a9_first_delay,a10_first_delay,a9_first20_rate,a9_var_convergence,a8_trust_quality_corr
1,baseline,MOO-cap,5560.0,27.8,0.8143333333333331,0.7449166666666662,46,0.81,0.7385583524027459,0.4431350114416475,0.07687952275934362,999,999,0.0,999,0.0
1,baseline,Blind,-26140.0,-130.7,0.3371666666666668,0.3792500000000002,231,0.265,0.5243135011441649,0.3145881006864989,0.0833333333333335,4,8,0.1,999,0.0
2,baseline,MOO-cap,2680.0,13.4,0.8068333333333334,0.782916666666667,53,0.76,0.7400320139697323,0.44401920838183934,0.07824848739240715,999,999,0.0,999,0.0
2,baseline,Blind,-23320.0,-116.6,0.31749999999999995,0.39366666666666683,209,0.32,0.5444557625145519,0.3266734575087311,0.0833333333333335,0,2,0.15,999,0.0
3,baseline,MOO-cap,-3660.0,-18.3,0.755083333333333,0.7579166666666666,76,0.655,0.6673980747451869,0.4004388448471121,0.07308269622148246,4,0,0.05,999,0.0
3,baseline,Blind,-26400.0,-132.0,0.3486666666666667,0.4202500000000002,220,0.26,0.5288080407701019,0.31728482446206113,0.0833333333333335,4,0,0.2,999,0.0
4,baseline,MOO-cap,-1160.0,-5.8,0.777583333333333,0.7614166666666662,74,0.69,0.7393947963800904,0.4436368778280542,0.07483656152599019,999,999,0.0,999,0.0
4,baseline,Blind,-26400.0,-132.0,0.37208333333333327,0.41766666666666663,216,0.26,0.5527432126696832,0.3316459276018099,0.0833333333333335,1,12,0.25,999,0.0
5,baseline,MOO-cap,2940.0,14.7,0.7944166666666664,0.7897499999999998,51,0.765,0.6521479713603819,0.39628878281622915,0.0742944067015599,999,999,0.0,999,0.0
5,baseline,Blind,-22540.0,-112.7,0.32675000000000004,0.3859166666666665,192,0.335,0.5286396181384247,0.3171837708830548,0.0833333333333335,6,1,0.15,999,0.0
6,baseline,MOO-cap,680.0,3.4,0.7664166666666667,0.732833333333333,62,0.73,0.721175799086758,0.4327054794520548,0.07418921701858855,999,999,0.0,999,0.0
6,baseline,Blind,-24360.0,-121.8,0.36925000000000013,0.426916666666667,206,0.3,0.5436643835616439,0.32619863013698636,0.0833333333333335,7,4,0.25,999,0.0
7,baseline,MOO-cap,500.0,2.5,0.7802499999999997,0.7568333333333329,65,0.725,0.7438360091743119,0.44630160550458714,0.07698141035728921,999,999,0.0,999,0.0
7,baseline,Blind,-26700.0,-133.5,0.3441666666666666,0.4011666666666666,229,0.255,0.5332568807339451,0.319954128440367,0.0833333333333335,0,5,0.1,999,0.0
8,baseline,MOO-cap,200.0,1.0,0.783416666666667,0.739083333333333,60,0.72,0.6422687861271676,0.3853612716763006,0.06980445080907383,12,999,0.05,999,0.0
8,baseline,Blind,-27260.0,-136.3,0.3088333333333335,0.40116666666666667,223,0.245,0.5268063583815028,0.31608381502890165,0.0833333333333335,7,3,0.05,999,0.0
9,baseline,MOO-cap,4740.0,23.7,0.8032499999999996,0.7517499999999998,51,0.795,0.7446885913853318,0.4468131548311991,0.0782553917266668,999,999,0.0,999,0.0
9,baseline,Blind,-21120.0,-105.6,0.3400000000000003,0.4115833333333334,198,0.36,0.5217549476135042,0.3130529685681025,0.0833333333333335,11,4,0.1,999,0.0
10,baseline,MOO-cap,480.0,2.4,0.760083333333333,0.7519999999999996,60,0.73,0.7366685779816513,0.4420011467889908,0.07716578914905736,999,999,0.0,999,0.0
10,baseline,Blind,-25660.0,-128.3,0.32341666666666674,0.37708333333333366,220,0.275,0.5153383027522935,0.3092029816513761,0.0833333333333335,1,11,0.2,999,0.0
11,baseline,MOO-cap,2640.0,13.2,0.7996666666666665,0.7524166666666665,52,0.76,0.7411961583236322,0.4447176949941793,0.07549040745016955,0,999,0.05,999,0.0
11,baseline,Blind,-23760.0,-118.8,0.33025000000000004,0.39733333333333354,210,0.31,0.5296129220023282,0.31776775320139694,0.0833333333333335,7,5,0.1,999,0.0
12,baseline,MOO-cap,-520.0,-2.6,0.7799166666666666,0.7535833333333334,68,0.71,0.6603637413394918,0.3962182448036951,0.0744536541880772,999,999,0.0,999,0.0
12,baseline,Blind,-24580.0,-122.9,0.3825833333333333,0.4349166666666669,207,0.295,0.5293013856812934,0.317580831408776,0.0833333333333335,22,27,0.0,999,0.0
13,baseline,MOO-cap,1200.0,6.0,0.80475,0.7623333333333331,61,0.73,0.7389277389277389,0.4433566433566433,0.0782406050033468,999,999,0.0,999,0.0
13,baseline,Blind,-23580.0,-117.9,0.31975000000000003,0.39991666666666675,199,0.315,0.4881993006993006,0.2929195804195804,0.0833333333333335,3,44,0.3,999,0.0
14,baseline,MOO-cap,-10340.0,-51.7,0.7259166666666664,0.6844999999999998,107,0.535,0.7130453501722158,0.42782721010332947,0.07185552001534928,8,0,0.05,999,0.0
14,baseline,Blind,-25400.0,-127.0,0.3279166666666667,0.37975000000000003,222,0.28,0.5279133180252584,0.31674799081515503,0.0833333333333335,9,3,0.2,999,0.0
15,baseline,MOO-cap,-1540.0,-7.7,0.802,0.7762499999999999,76,0.675,0.6969476744186047,0.42316860465116285,0.07263751057644204,999,999,0.0,999,0.0
15,baseline,Blind,-25580.0,-127.9,0.35400000000000015,0.4072499999999999,210,0.275,0.5441860465116279,0.32651162790697674,0.0833333333333335,2,7,0.35,999,0.0
16,baseline,MOO-cap,1480.0,7.4,0.7848333333333335,0.7273333333333334,57,0.74,0.7205626450116009,0.43233758700696057,0.07258855008085247,999,999,0.0,999,0.9123796219070718
16,baseline,Blind,-25960.0,-129.8,0.3070000000000001,0.4269999999999999,225,0.27,0.5258120649651972,0.3154872389791183,0.0833333333333335,1,0,0.15,999,0.0
17,baseline,MOO-cap,3540.0,17.7,0.7789166666666665,0.7145833333333332,51,0.775,0.7358630952380953,0.4415178571428572,0.07485329977488613,999,999,0.0,999,0.0
17,baseline,Blind,-22240.0,-111.2,0.36324999999999996,0.3645833333333336,194,0.34,0.521279761904762,0.3127678571428572,0.0833333333333335,0,21,0.2,999,0.0
