run,scenario,group,cumulative_utility,mean_utility,mean_quality_true,mean_quality_surface,fatal_errors,task_success_rate,final_trust_gini,final_collapse_index,mean_trust_var,a9_first_delay,a10_first_delay,a9_first20_rate,a9_var_convergence,a8_trust_quality_corr
1,baseline,TRUE,-2200.0,-11.0,0.7440833333333327,0.7459999999999998,74,0.68,0.6433066361556063,0.3859839816933638,0.06762977187060329,0,4,0.25,0,0.8235827688169742
1,baseline,Blind,-26140.0,-130.7,0.3371666666666668,0.3792500000000002,231,0.265,0.5243135011441649,0.3145881006864989,0.0833333333333335,4,8,0.1,999,0.0
2,baseline,TRUE,1860.0,9.3,0.7792500000000001,0.7380833333333334,57,0.745,0.66203434225844,0.40222060535506404,0.06849100957941545,2,11,0.25,3,0.0
2,baseline,Blind,-23320.0,-116.6,0.31749999999999995,0.39366666666666683,209,0.32,0.5444557625145519,0.3266734575087311,0.0833333333333335,0,2,0.15,999,0.0
3,baseline,TRUE,-1620.0,-8.1,0.7505833333333333,0.7466666666666663,76,0.685,0.6024207248018121,0.37145243488108726,0.06548456949073422,0,0,0.25,1,0.9158293299528694
3,baseline,Blind,-26400.0,-132.0,0.3486666666666667,0.4202500000000002,220,0.26,0.5288080407701019,0.31728482446206113,0.0833333333333335,4,0,0.2,999,0.0
4,baseline,TRUE,640.0,3.2,0.7635833333333334,0.7244166666666664,63,0.73,0.6442307692307692,0.4065384615384615,0.06663337227189739,0,0,0.25,999,0.0
4,baseline,Blind,-26400.0,-132.0,0.37208333333333327,0.41766666666666663,216,0.26,0.5527432126696832,0.3316459276018099,0.0833333333333335,1,12,0.25,999,0.0
5,baseline,TRUE,1760.0,8.8,0.7555833333333334,0.7654166666666663,62,0.75,0.6491646778042959,0.39949880668257753,0.0670825228015547,0,2,0.25,0,0.0
5,baseline,Blind,-22540.0,-112.7,0.32675000000000004,0.3859166666666665,192,0.335,0.5286396181384247,0.3171837708830548,0.0833333333333335,6,1,0.15,999,0.0
6,baseline,TRUE,-400.0,-2.0,0.7648333333333334,0.7163333333333332,64,0.71,0.6279965753424657,0.3867979452054794,0.06780905533339393,0,1,0.25,2,0.42207223768923047
6,baseline,Blind,-24360.0,-121.8,0.36925000000000013,0.426916666666667,206,0.3,0.5436643835616439,0.32619863013698636,0.0833333333333335,7,4,0.25,999,0.0
7,baseline,TRUE,1460.0,7.3,0.7763333333333332,0.7174999999999995,69,0.735,0.610665137614679,0.3713990825688074,0.06900806368592768,0,2,0.25,24,0.8157521417931355
7,baseline,Blind,-26700.0,-133.5,0.3441666666666666,0.4011666666666666,229,0.255,0.5332568807339451,0.319954128440367,0.0833333333333335,0,5,0.1,999,0.0
8,baseline,TRUE,-40.0,-0.2,0.7644166666666666,0.7546666666666667,65,0.72,0.6283959537572255,0.38203757225433527,0.06698244360119064,0,0,0.3,7,0.0
8,baseline,Blind,-27260.0,-136.3,0.3088333333333335,0.40116666666666667,223,0.245,0.5268063583815028,0.31608381502890165,0.0833333333333335,7,3,0.05,999,0.0
9,baseline,TRUE,-140.0,-0.7,0.7574999999999996,0.7251666666666664,63,0.715,0.6455908032596043,0.40235448195576257,0.067470008294411,0,7,0.55,0,0.0
9,baseline,Blind,-21120.0,-105.6,0.3400000000000003,0.4115833333333334,198,0.36,0.5217549476135042,0.3130529685681025,0.0833333333333335,11,4,0.1,999,0.0
10,baseline,TRUE,1980.0,9.9,0.7736666666666663,0.7329166666666664,58,0.755,0.6556766055045871,0.40340596330275225,0.06817704996386284,0,7,0.25,0,0.8505171680856681
10,baseline,Blind,-25660.0,-128.3,0.32341666666666674,0.37708333333333366,220,0.275,0.5153383027522935,0.3092029816513761,0.0833333333333335,1,11,0.2,999,0.0
11,baseline,TRUE,4440.0,22.2,0.793416666666667,0.7768333333333334,48,0.79,0.5902939464493597,0.3641763678696158,0.06717476349492381,0,0,0.25,1,0.2970630386705032
11,baseline,Blind,-23760.0,-118.8,0.33025000000000004,0.39733333333333354,210,0.31,0.5296129220023282,0.31776775320139694,0.0833333333333335,7,5,0.1,999,0.0
12,baseline,TRUE,1180.0,5.9,0.7853333333333334,0.7630833333333333,60,0.735,0.6825923787528869,0.41955542725173217,0.06935566218950986,0,2,0.25,0,0.0
12,baseline,Blind,-24580.0,-122.9,0.3825833333333333,0.4349166666666669,207,0.295,0.5293013856812934,0.317580831408776,0.0833333333333335,22,27,0.0,999,0.0
13,baseline,TRUE,-580.0,-2.9,0.7547499999999995,0.7581666666666664,69,0.705,0.638986013986014,0.40339160839160837,0.06746036806321971,0,0,0.25,8,0.0
13,baseline,Blind,-23580.0,-117.9,0.31975000000000003,0.39991666666666675,199,0.315,0.4881993006993006,0.2929195804195804,0.0833333333333335,3,44,0.3,999,0.0
14,baseline,TRUE,-2200.0,-11.0,0.7754166666666663,0.7421666666666661,73,0.67,0.6593714121699197,0.3956228473019518,0.06583424842713584,0,5,0.35,3,0.0
14,baseline,Blind,-25400.0,-127.0,0.3279166666666667,0.37975000000000003,222,0.28,0.5279133180252584,0.31674799081515503,0.0833333333333335,9,3,0.2,999,0.0
15,baseline,TRUE,800.0,4.0,0.7867499999999998,0.7391666666666662,57,0.73,0.6738372093023255,0.4093023255813953,0.06844725107818868,0,6,0.25,2,0.0
