run,scenario,group,cumulative_utility,mean_utility,mean_quality_true,mean_quality_surface,fatal_errors,task_success_rate,final_trust_gini,final_collapse_index,mean_trust_var,a9_first_delay,a10_first_delay,a9_first20_rate,a9_var_convergence,a8_trust_quality_corr
1,baseline,TTB-cap,5640.0,28.2,0.8175833333333331,0.7461666666666662,46,0.81,0.7411327231121281,0.4446796338672768,0.0781958219173566,999,999,0.0,999,0.0
1,baseline,Blind,-26140.0,-130.7,0.3371666666666668,0.3792500000000002,231,0.265,0.5243135011441649,0.3145881006864989,0.0833333333333335,4,8,0.1,999,0.0
2,baseline,TTB-cap,2680.0,13.4,0.8068333333333334,0.782916666666667,53,0.76,0.7400320139697323,0.44401920838183934,0.07824848739240715,999,999,0.0,999,0.0
2,baseline,Blind,-23320.0,-116.6,0.31749999999999995,0.39366666666666683,209,0.32,0.5444557625145519,0.3266734575087311,0.0833333333333335,0,2,0.15,999,0.0
3,baseline,TTB-cap,2180.0,10.9,0.8114166666666661,0.7583333333333332,58,0.745,0.7496460928652322,0.4497876557191393,0.07825185187817546,999,999,0.0,999,0.0
3,baseline,Blind,-26400.0,-132.0,0.3486666666666667,0.4202500000000002,220,0.26,0.5288080407701019,0.31728482446206113,0.0833333333333335,4,0,0.2,999,0.0
4,baseline,TTB-cap,-40.0,-0.2,0.7854999999999996,0.769333333333333,69,0.71,0.7453337104072397,0.4472002262443438,0.07799047103008795,999,999,0.0,999,0.0
4,baseline,Blind,-26400.0,-132.0,0.37208333333333327,0.41766666666666663,216,0.26,0.5527432126696832,0.3316459276018099,0.0833333333333335,1,12,0.25,999,0.0
5,baseline,TTB-cap,2680.0,13.4,0.8047499999999999,0.7975833333333329,52,0.76,0.7419451073985681,0.44516706443914084,0.07824007333903263,999,999,0.0,999,0.0
5,baseline,Blind,-22540.0,-112.7,0.32675000000000004,0.3859166666666665,192,0.335,0.5286396181384247,0.3171837708830548,0.0833333333333335,6,1,0.15,999,0.0
6,baseline,TTB-cap,1160.0,5.8,0.802916666666667,0.7602499999999996,62,0.73,0.7414383561643836,0.4448630136986301,0.0779742635528315,999,999,0.0,999,0.0
6,baseline,Blind,-24360.0,-121.8,0.36925000000000013,0.426916666666667,206,0.3,0.5436643835616439,0.32619863013698636,0.0833333333333335,7,4,0.25,999,0.0
7,baseline,TTB-cap,820.0,4.1,0.7947499999999998,0.7608333333333331,65,0.725,0.7468463302752293,0.44810779816513757,0.0782860726981133,999,999,0.0,999,0.0
7,baseline,Blind,-26700.0,-133.5,0.3441666666666666,0.4011666666666666,229,0.255,0.5332568807339451,0.319954128440367,0.0833333333333335,0,5,0.1,999,0.0
8,baseline,TTB-cap,2680.0,13.4,0.81025,0.7646666666666665,58,0.75,0.7416907514450868,0.44501445086705205,0.07794504896242908,999,999,0.0,999,0.0
