run,group,cumulative_utility,mean_utility,mean_quality,fatal_errors,task_success_rate,final_trust_gini,final_collapse_index,mean_trust_var,a9_first_delay,a10_first_delay,a9_first20_rate,a9_var_convergence,a8_trust_quality_corr
1,TRUE,1040.0,5.2,0.7610833333333333,61,0.74,0.11540046110665103,0.07020023055332551,0.06647867110060486,0,0,0.25,999,0.8479181656197163
1,Blind,-21120.0,-105.6,0.37733333333333335,174,0.36,0.0,0.0,0.0833333333333335,0,4,0.1,999,0.0
1,MOO,480.0,2.4,0.7469999999999996,66,0.73,0.06594696820844703,0.032973484104223516,0.07380124573189674,999,999,0.0,999,0.0
2,TRUE,3000.0,15.0,0.7514166666666668,54,0.77,0.11246619689996917,0.08123309844998458,0.06682369097465711,0,0,0.25,999,0.0
2,Blind,-20820.0,-104.1,0.39350000000000007,183,0.365,0.0,0.0,0.0833333333333335,16,16,0.05,999,0.0
2,MOO,-24440.0,-122.2,0.5102499999999999,222,0.29,0.10352237583215085,0.07676118791607542,0.07109424970978029,999,999,0.0,999,0.0611246791235915
3,TRUE,3420.0,17.1,0.7820833333333335,54,0.775,0.09674389695500984,0.06087194847750492,0.06930896058542915,0,1,0.25,999,0.8071523206952306
3,Blind,-21980.0,-109.9,0.37350000000000017,184,0.345,0.0,0.0,0.0833333333333335,9,8,0.15,999,0.0
3,MOO,-7460.0,-37.3,0.619083333333333,92,0.605,0.08230613239165319,0.05365306619582659,0.07296460490697786,999,999,0.0,999,0.04896716233807465
4,TRUE,1140.0,5.7,0.7668333333333327,60,0.735,0.1131722403794937,0.06283612018974685,0.06708480825100076,0,0,0.25,999,0.9733324236854825
4,Blind,-21200.0,-106.0,0.3660833333333334,178,0.36,0.0,0.0,0.0833333333333335,0,9,0.2,999,0.0
4,MOO,-17260.0,-86.3,0.7050833333333333,142,0.405,0.07831825293823846,0.03915912646911923,0.0716069004197193,999,999,0.0,999,0.0
5,TRUE,-560.0,-2.8,0.7519166666666668,63,0.71,0.11700558596683219,0.0647527929834161,0.06763289301568885,0,0,0.25,999,0.7813187178032566
5,Blind,-22460.0,-112.3,0.39049999999999996,184,0.335,0.0,0.0,0.0833333333333335,28,11,0.0,999,0.0
5,MOO,-15020.0,-75.1,0.5610833333333335,151,0.465,0.09572529205812907,0.06661264602906454,0.07132909632522702,999,999,0.0,999,-0.054522148124335056
6,TRUE,160.0,0.8,0.7870833333333332,66,0.71,0.11637262194261733,0.06443631097130867,0.06610851668058992,0,1,0.25,999,0.9005971270641443
6,Blind,-19420.0,-97.1,0.38591666666666663,171,0.395,0.0,0.0,0.0833333333333335,8,8,0.2,999,0.0
6,MOO,1760.0,8.8,0.8038333333333335,58,0.74,0.06599189719549425,0.03299594859774713,0.07439746458347016,999,999,0.0,999,0.0
7,TRUE,1240.0,6.2,0.7754166666666668,56,0.74,0.10567682249825139,0.0715884112491257,0.06804737801704092,1,1,0.25,999,0.23315395390956706
7,Blind,-20260.0,-101.3,0.4145833333333334,173,0.375,0.0,0.0,0.0833333333333335,7,28,0.2,999,0.0
7,MOO,-22800.0,-114.0,0.33308333333333356,181,0.33,0.09271774385063569,0.046358871925317846,0.06925400890837462,999,999,0.0,999,0.045605385785710766
8,TRUE,1100.0,5.5,0.77125,56,0.735,0.10544177027917168,0.05897088513958584,0.06882964855897156,0,0,0.25,999,0.8646031695235991
8,Blind,-20680.0,-103.4,0.39025,173,0.37,0.0,0.0,0.0833333333333335,16,33,0.1,999,0.0
8,MOO,-5240.0,-26.2,0.5247499999999998,86,0.66,0.10131677580468823,0.06315838790234411,0.07133412828494824,999,999,0.0,999,0.06717429647471276
9,TRUE,1420.0,7.1,0.7782499999999999,56,0.735,0.11362702590957707,0.06931351295478853,0.06746125587081789,0,13,0.3,999,0.0
9,Blind,-22320.0,-111.6,0.35700000000000015,181,0.34,0.0,0.0,0.0833333333333335,1,2,0.15,999,0.0
9,MOO,-16700.0,-83.5,0.7004999999999997,138,0.415,0.05905150158062322,0.02952575079031161,0.07456934549111228,999,999,0.0,999,0.0
10,TRUE,940.0,4.7,0.7581666666666663,61,0.735,0.12883245861148773,0.07691622930574386,0.06521340378778821,0,0,0.65,999,0.8981190355956321
10,Blind,-21040.0,-105.2,0.4165833333333333,162,0.36,0.0,0.0,0.0833333333333335,3,48,0.25,999,0.0
10,MOO,-20240.0,-101.2,0.7012499999999995,151,0.35,0.07531768387763793,0.043908841938818964,0.07309596785881163,999,999,0.0,999,0.0
