run,group,cumulative_utility,mean_utility,mean_quality,fatal_errors,task_success_rate,final_trust_gini,final_collapse_index,mean_trust_var,a9_first_delay,a10_first_delay,a9_first20_rate,a9_var_convergence,a8_trust_quality_corr
1,TRUE,1040.0,5.2,0.7610833333333333,61,0.74,0.11540046110665103,0.07020023055332551,0.06647867110060486,0,0,0.25,999,0.8479181656197163
1,Blind,-21120.0,-105.6,0.37733333333333335,174,0.36,0.0,0.0,0.0833333333333335,0,4,0.1,999,0.0
1,MOO,1820.0,9.1,0.8123333333333329,55,0.745,0.029156910826501514,0.014578455413250757,0.07827298312532145,999,999,0.0,999,0.0
2,TRUE,3000.0,15.0,0.7514166666666668,54,0.77,0.11246619689996917,0.08123309844998458,0.06682369097465711,0,0,0.25,999,0.0
2,Blind,-20820.0,-104.1,0.39350000000000007,183,0.365,0.0,0.0,0.0833333333333335,16,16,0.05,999,0.0
2,MOO,-840.0,-4.2,0.8010833333333331,74,0.69,0.03786238085611604,0.01893119042805802,0.07702889953895045,999,999,0.0,999,0.0
3,TRUE,3420.0,17.1,0.7820833333333335,54,0.775,0.09674389695500984,0.06087194847750492,0.06930896058542915,0,1,0.25,999,0.8071523206952306
3,Blind,-21980.0,-109.9,0.37350000000000017,184,0.345,0.0,0.0,0.0833333333333335,9,8,0.15,999,0.0
3,MOO,1440.0,7.2,0.7845000000000002,64,0.74,0.026938983621894286,0.013469491810947143,0.07824533869871718,999,999,0.0,999,0.0
4,TRUE,1140.0,5.7,0.7668333333333327,60,0.735,0.1131722403794937,0.06283612018974685,0.06708480825100076,0,0,0.25,999,0.9733324236854825
4,Blind,-21200.0,-106.0,0.3660833333333334,178,0.36,0.0,0.0,0.0833333333333335,0,9,0.2,999,0.0
4,MOO,860.0,4.3,0.8082499999999999,62,0.725,0.03407359114869002,0.01703679557434501,0.07794518063021358,999,999,0.0,999,0.0
5,TRUE,-560.0,-2.8,0.7519166666666668,63,0.71,0.11700558596683219,0.0647527929834161,0.06763289301568885,0,0,0.25,999,0.7813187178032566
5,Blind,-22460.0,-112.3,0.39049999999999996,184,0.335,0.0,0.0,0.0833333333333335,28,11,0.0,999,0.0
5,MOO,180.0,0.9,0.786,62,0.715,0.03453745391314267,0.017268726956571334,0.07775099782364105,999,999,0.0,999,0.0
6,TRUE,160.0,0.8,0.7870833333333332,66,0.71,0.11637262194261733,0.06443631097130867,0.06610851668058992,0,1,0.25,999,0.9005971270641443
6,Blind,-19420.0,-97.1,0.38591666666666663,171,0.395,0.0,0.0,0.0833333333333335,8,8,0.2,999,0.0
6,MOO,2140.0,10.7,0.816166666666667,57,0.745,0.040812952318737494,0.020406476159368747,0.07681655380128154,999,999,0.0,999,0.0
7,TRUE,1240.0,6.2,0.7754166666666668,56,0.74,0.10567682249825139,0.0715884112491257,0.06804737801704092,1,1,0.25,999,0.23315395390956706
7,Blind,-20260.0,-101.3,0.4145833333333334,173,0.375,0.0,0.0,0.0833333333333335,7,28,0.2,999,0.0
7,MOO,-1580.0,-7.9,0.7907499999999996,72,0.685,0.027688138721936983,0.013844069360968492,0.07824344595251997,999,999,0.0,999,0.0
8,TRUE,1100.0,5.5,0.77125,56,0.735,0.10544177027917168,0.05897088513958584,0.06882964855897156,0,0,0.25,999,0.8646031695235991
8,Blind,-20680.0,-103.4,0.39025,173,0.37,0.0,0.0,0.0833333333333335,16,33,0.1,999,0.0
8,MOO,4580.0,22.9,0.8034999999999998,46,0.795,0.04156016327831824,0.02078008163915912,0.07708972225538964,999,999,0.0,999,0.0
9,TRUE,1420.0,7.1,0.7782499999999999,56,0.735,0.11362702590957707,0.06931351295478853,0.06746125587081789,0,13,0.3,999,0.0
9,Blind,-22320.0,-111.6,0.35700000000000015,181,0.34,0.0,0.0,0.0833333333333335,1,2,0.15,999,0.0
9,MOO,4860.0,24.3,0.8206666666666667,47,0.795,0.031041386616567745,0.015520693308283873,0.0782536755548379,999,999,0.0,999,0.0
10,TRUE,940.0,4.7,0.7581666666666663,61,0.735,0.12883245861148773,0.07691622930574386,0.06521340378778821,0,0,0.65,999,0.8981190355956321
10,Blind,-21040.0,-105.2,0.4165833333333333,162,0.36,0.0,0.0,0.0833333333333335,3,48,0.25,999,0.0
10,MOO,5780.0,28.9,0.8532500000000002,41,0.805,0.03421055164493869,0.023355275822469344,0.07782549433980492,999,999,0.0,999,0.0
11,TRUE,440.0,2.2,0.7641666666666663,62,0.73,0.10969855365493308,0.07359927682746654,0.06748447392545129,0,1,0.25,999,0.7328928661875859
11,Blind,-19640.0,-98.2,0.3773333333333334,167,0.39,0.0,0.0,0.0833333333333335,0,45,0.2,999,0.0
11,MOO,1720.0,8.6,0.7856666666666665,57,0.75,0.02674649767469428,0.01337324883734714,0.07829014704314678,999,999,0.0,999,0.0
12,TRUE,2100.0,10.5,0.779083333333333,55,0.755,0.10474364643187162,0.0773718232159358,0.0685795606516614,0,0,0.3,999,0.9161900380746244
12,Blind,-19300.0,-96.5,0.40316666666666684,158,0.395,0.0,0.0,0.0833333333333335,1,1,0.2,999,0.0
12,MOO,460.0,2.3,0.8009166666666664,66,0.715,0.0328198339799497,0.01640991698997485,0.0779233416471922,999,999,0.0,999,0.0
13,TRUE,2140.0,10.7,0.7765833333333332,60,0.755,0.12251135586929629,0.07375567793464814,0.06696079917992274,1,10,0.25,999,0.0
13,Blind,-19960.0,-99.8,0.3874166666666667,158,0.38,0.0,0.0,0.0833333333333335,2,5,0.1,999,0.0
13,MOO,3820.0,19.1,0.8223333333333332,53,0.775,0.031251375148732,0.015625687574366,0.07825049525283986,999,999,0.0,999,0.0
14,TRUE,1320.0,6.6,0.7619999999999999,57,0.74,0.10419799611928693,0.06459899805964346,0.06821414048021593,0,0,0.3,999,0.8810843128414366
14,Blind,-22680.0,-113.4,0.3864999999999999,189,0.33,0.0,0.0,0.0833333333333335,2,6,0.05,999,0.0
14,MOO,3120.0,15.6,0.8226666666666667,53,0.76,0.03210368606580394,0.01605184303290197,0.07766018020853954,999,999,0.0,999,0.0
15,TRUE,2340.0,11.7,0.8000000000000003,53,0.755,0.09239153277908096,0.06494576638954049,0.06914664903263229,0,5,0.25,999,0.8402349008412802
15,Blind,-19940.0,-99.7,0.37024999999999997,176,0.385,0.0,0.0,0.0833333333333335,4,44,0.15,999,0.0
15,MOO,1240.0,6.2,0.8064166666666668,59,0.73,0.02960027957978184,0.01480013978989092,0.07826102628474871,999,999,0.0,999,0.0
16,TRUE,-180.0,-0.9,0.7563333333333331,65,0.715,0.10074884661719263,0.07537442330859631,0.06828199391949753,0,1,0.25,999,0.0
16,Blind,-20500.0,-102.5,0.3490000000000002,178,0.375,0.0,0.0,0.0833333333333335,13,1,0.05,999,0.0
16,MOO,5180.0,25.9,0.8315833333333333,46,0.795,0.030604365487716834,0.015302182743858417,0.07821927550690125,999,999,0.0,999,0.0
17,TRUE,80.0,0.4,0.7594999999999997,63,0.72,0.10388921838389353,0.07069460919194677,0.0678108722941275,0,0,0.25,999,0.9630922969773099
17,Blind,-20680.0,-103.4,0.3954166666666669,168,0.37,0.0,0.0,0.0833333333333335,0,29,0.2,999,0.0
17,MOO,-580.0,-2.9,0.776166666666666,68,0.705,0.02616956830139605,0.013084784150698026,0.07828764978356817,999,999,0.0,999,0.0
18,TRUE,1700.0,8.5,0.7702499999999998,54,0.755,0.08659583084523703,0.05579791542261851,0.0707181677260233,2,0,0.25,999,0.0
18,Blind,-22200.0,-111.0,0.37716666666666687,193,0.34,0.0,0.0,0.0833333333333335,0,0,0.15,999,0.0
18,MOO,1900.0,9.5,0.8022500000000004,54,0.745,0.03476407531903636,0.01738203765951818,0.07727106145529239,999,999,0.0,999,0.0
19,TRUE,1700.0,8.5,0.7879999999999996,55,0.745,0.090377089405135,0.0639385447025675,0.07079553847756624,0,3,0.25,999,0.8994443234647315
19,Blind,-21380.0,-106.9,0.40483333333333343,173,0.355,0.0,0.0,0.0833333333333335,6,0,0.15,999,0.0
19,MOO,-140.0,-0.7,0.7933333333333331,66,0.705,0.03322133770173652,0.01661066885086826,0.07789716933955773,999,999,0.0,999,0.0
20,TRUE,6400.0,32.0,0.7995000000000005,40,0.83,0.11567177634659664,0.07033588817329832,0.06681235372798,0,3,0.25,999,0.9030199358893896
20,Blind,-21640.0,-108.2,0.42025,172,0.35,0.0,0.0,0.0833333333333335,1,3,0.25,999,0.0
20,MOO,4360.0,21.8,0.8146666666666661,46,0.79,0.035415031584461465,0.02395751579223073,0.07789175070775134,999,999,0.0,999,0.0
