run,group,cumulative_utility,mean_utility,mean_quality,fatal_errors,task_success_rate,final_trust_gini,final_collapse_index,mean_trust_var,a9_first_delay,a10_first_delay,a9_first20_rate,a9_var_convergence,a8_trust_quality_corr
1,TRUE,-1000.0,-20.0,0.49400000000000005,25,0.68,0.18177510673290698,0.11088755336645349,0.06225824025705649,0,999,0.1,999,0.0
1,Blind,-5320.0,-106.4,0.39133333333333326,44,0.36,0.0,0.0,0.08333333333333336,0,999,0.05,999,0.0
1,MOO,420.0,8.4,0.8216666666666665,13,0.74,0.031105499622922972,0.015552749811461486,0.07847940809814566,999,999,0.0,999,0.0
2,TRUE,-2200.0,-44.0,0.5986666666666668,31,0.56,0.17096339114561476,0.11214836223947405,0.062301166027293575,999,999,0.0,999,0.0
2,Blind,-5800.0,-116.0,0.386,54,0.32,0.0,0.0,0.08333333333333336,999,999,0.0,999,0.0
2,MOO,560.0,11.2,0.806,13,0.76,0.033500560384207345,0.016750280192103673,0.07811117731301598,999,999,0.0,999,0.0
3,TRUE,-5720.0,-114.4,0.4160000000000001,54,0.32,0.1767507911119912,0.12170872888932893,0.05993925704386874,0,999,0.1,999,0.7199816708906367
3,Blind,-6360.0,-127.2,0.3516666666666668,47,0.28,0.0,0.0,0.08333333333333336,999,999,0.0,999,0.0
3,MOO,940.0,18.8,0.83,12,0.78,0.03231085852101545,0.016155429260507725,0.07835976016603043,999,999,0.0,999,0.0
4,TRUE,-4560.0,-91.2,0.5573333333333336,42,0.4,0.14305963455278237,0.07819648394305785,0.06295813982579357,0,999,0.05,999,0.7708951704277061
4,Blind,-3760.0,-75.2,0.40199999999999997,33,0.48,0.0,0.0,0.08333333333333336,0,999,0.05,999,0.0
4,MOO,120.0,2.4,0.78,17,0.72,0.029727510684504743,0.014863755342252372,0.07791881285046666,999,999,0.0,999,0.0
5,TRUE,-6020.0,-120.4,0.5123333333333334,51,0.3,0.17134628979177946,0.1123398115625564,0.06262135941369486,0,999,0.05,999,0.8066041789263074
5,Blind,-6360.0,-127.2,0.3133333333333333,57,0.28,0.0,0.0,0.08333333333333336,999,999,0.0,999,0.0
5,MOO,0.0,0.0,0.7583333333333335,14,0.72,0.03114101722375695,0.015570508611878475,0.07791383698740982,999,999,0.0,999,0.0
