run,group,cumulative_utility,mean_utility,mean_quality,fatal_errors,task_success_rate,final_trust_gini,final_collapse_index,mean_trust_var,a9_first_delay,a10_first_delay,a9_first20_rate,a9_var_convergence,a8_trust_quality_corr
1,TRUE,-540.0,-10.8,0.6566666666666667,17,0.7,0.11476340225878823,0.07071503446272745,0.07029386490601744,0,999,0.15,999,0.8479181656197163
1,Blind,-5320.0,-106.4,0.39133333333333326,44,0.36,0.0,0.0,0.08333333333333336,0,999,0.05,999,0.0
1,MOO,420.0,8.4,0.8216666666666665,13,0.74,0.031105499622922972,0.015552749811461486,0.07847940809814566,999,999,0.0,999,0.0
2,TRUE,920.0,18.4,0.6876666666666666,11,0.8,0.1140493750629239,0.07702468753146195,0.0708105620812246,0,999,0.05,999,0.0
2,Blind,-5800.0,-116.0,0.386,54,0.32,0.0,0.0,0.08333333333333336,999,999,0.0,999,0.0
2,MOO,80.0,1.6,0.762,17,0.72,0.03336173827398037,0.016680869136990184,0.07729747517096294,999,999,0.0,999,0.0
3,TRUE,-720.0,-14.4,0.6753333333333333,20,0.68,0.08817548673914422,0.050754410036238776,0.0731356696627788,0,999,0.05,999,0.8071523206952306
3,Blind,-6360.0,-127.2,0.3516666666666668,47,0.28,0.0,0.0,0.08333333333333336,999,999,0.0,999,0.0
3,MOO,940.0,18.8,0.83,12,0.78,0.03231085852101545,0.016155429260507725,0.07835976016603043,999,999,0.0,999,0.0
4,TRUE,-340.0,-6.8,0.6576666666666666,17,0.7,0.10735079834133976,0.06034206583733655,0.0704849772155451,0,999,0.15,999,0.9733324236854825
4,Blind,-3760.0,-75.2,0.40199999999999997,33,0.48,0.0,0.0,0.08333333333333336,0,999,0.05,999,0.0
4,MOO,120.0,2.4,0.785,17,0.72,0.03304726464041541,0.016523632320207704,0.07821381581388238,999,999,0.0,999,0.0
5,TRUE,-280.0,-5.6,0.6703333333333334,15,0.72,0.11260506216573729,0.06296919774953531,0.07245239302083242,0,999,0.1,999,0.7813187178032566
5,Blind,-6360.0,-127.2,0.3133333333333333,57,0.28,0.0,0.0,0.08333333333333336,999,999,0.0,999,0.0
5,MOO,0.0,0.0,0.7583333333333335,14,0.72,0.03114101722375695,0.015570508611878475,0.07791383698740982,999,999,0.0,999,0.0
