scenario,group,cumulative_utility_mean,cumulative_utility_sd,mean_quality_true,mean_quality_surface,fatal_errors_mean,success_rate,final_trust_gini,final_collapse_index,mean_trust_var,a9_first_delay,a10_first_delay,a9_first20_rate,a9_var_convergence,a8_trust_quality_corr
baseline,TRUE,949.0,2094.7988051119146,0.7653388888888889,0.7398402777777775,60.416666666666664,0.7344166666666666,0.6373874879867588,0.39318249279205514,0.06738246144812822,0.21666666666666667,1.2666666666666666,0.38416666666666666,102.41666666666667,0.2627559226535072
baseline,Blind,-23558.333333333332,1541.1916660209492,0.3412694444444447,0.40359722222222216,209.05,0.31458333333333327,0.5280990736739855,0.31685944420439127,0.08333333333333358,5.8,6.833333333333333,0.1483333333333333,999.0,0.0
baseline,MOO,-2310.3333333333335,5591.047919322297,0.7345166666666662,0.7235888888888886,76.28333333333333,0.6790833333333335,0.7273960249118684,0.43952094828045435,0.07008338669657553,686.2166666666667,851.6333333333333,0.08833333333333332,999.0,0.2432059229637892
observation_manipulated,TRUE,1909.3333333333333,1889.3294179992843,0.7679319444444446,0.6418277777777773,52.38333333333333,0.7672500000000001,0.6048923506144626,0.36451874370201126,0.06682284797556258,0.0,0.06666666666666667,0.38833333333333336,6.733333333333333,-0.02340308561990174
observation_manipulated,Blind,-24976.0,1852.8980507412375,0.3380125,0.4352986111111111,197.26666666666668,0.33808333333333346,0.5162937166928897,0.30977623001573396,0.08333333333333358,5.266666666666667,7.516666666666667,0.1633333333333334,999.0,0.0
observation_manipulated,MOO,-28912.0,1628.2222810814774,0.21764583333333326,0.8760986111111112,224.7,0.26941666666666675,0.8581908265126486,0.5149144959075891,0.07615804953853882,999.0,999.0,0.0,999.0,0.0031686856042351195
safety_critical,TRUE,-3530.0,2806.789588945023,0.7942680555555557,0.7218152777777775,41.81666666666667,0.8129999999999996,0.6546945420459338,0.415233391894227,0.06792729790199996,0.4666666666666667,2.8666666666666667,0.2966666666666667,135.73333333333332,0.10678474673693869
safety_critical,Blind,-53549.0,2973.3971326539236,0.3450958333333335,0.3801444444444445,214.0,0.29875,0.5333505590300873,0.3200103354180524,0.08333333333333358,6.466666666666667,6.983333333333333,0.13416666666666663,999.0,0.0
safety_critical,MOO,-5460.333333333333,4106.851640305531,0.7804416666666665,0.7196513888888886,47.0,0.7951666666666666,0.7375942641363155,0.4494732251484558,0.0705786799829378,701.1333333333333,883.7,0.051666666666666666,999.0,0.2155914441663325
utility_trust_misalignment,TRUE,2885.8333333333335,1511.989700066553,0.7510319444444442,0.7077208333333329,53.78333333333333,0.7615833333333334,0.6082294702793482,0.3747710155009425,0.06718888792737279,0.38333333333333336,0.05,0.4808333333333332,34.95,0.28620005857678377
utility_trust_misalignment,Blind,-21554.333333333332,1507.1494776639108,0.33614166666666667,0.3898111111111112,204.1,0.31066666666666654,0.5304649947210766,0.318278996832646,0.08333333333333358,6.783333333333333,7.75,0.1441666666666666,999.0,0.0
utility_trust_misalignment,MOO,-1233.3333333333333,6594.088432822766,0.7131902777777778,0.7008138888888887,74.88333333333334,0.6851666666666666,0.7278918251143912,0.4389850950686346,0.07048194207815608,654.0333333333333,719.2,0.06666666666666665,999.0,0.3051854755038677
